Type,Distance,Strain,RSP
all_samples,0.003,Super Sour Diesel,RSP11191
all_samples,0.105,CHEM4,RSP12090
all_samples,0.124,Dog Patch,RSP11725
all_samples,0.127,Motor Breath #15,RSP12093
all_samples,0.152501,501st OG,RSP11241
all_samples,0.158,RKM-2018-002,RSP11093
all_samples,0.16,Star Dawg,RSP11352
all_samples,0.17,Sour D,RSP11343
all_samples,0.171,BEEFCAKE D,RSP12642
all_samples,0.176,New York City Deisel,RSP11225
all_samples,0.177,RKM-2018-032,RSP11124
all_samples,0.178,Chem'91,RSP13491
all_samples,0.178,RKM-2018-021,RSP11113
all_samples,0.178,GG#4,RSP11461
all_samples,0.179,RKM-2018-017,RSP11109
all_samples,0.179,Sour Diesel (Wing Wang NYC),RSP13089
all_samples,0.183,GG4,RSP12096
all_samples,0.183,GMO,RSP12091
all_samples,0.186,Mothers Milk #5,RSP11186
all_samples,0.188,Mother's Milk No. 31,RSP11623
base_tree,0.475,Jamaican Lion,RSP12913
base_tree,0.4648,80E,RSP11213
base_tree,0.461,Northern Skunk,RSP11456
base_tree,0.458,Opalo,RSP13489
base_tree,0.457,Jamaican Lion,RSP12916
base_tree,0.453,JL 3rd Gen Father,RSP11196
base_tree,0.4498,80E,RSP11212
base_tree,0.448,Big Red,RSP13217
base_tree,0.445,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.441,Cherry Blossom,RSP11311
base_tree,0.438,Punta Roja,RSP12923
base_tree,0.437,Jamaican Lion,RSP12917
base_tree,0.437,Black Scotti,RSP13466
base_tree,0.436,Purple Columbian,RSP12924
base_tree,0.436,Cbot-2019-005,RSP11133
base_tree,0.4358,80E,RSP11211
base_tree,0.434,JL yellow,RSP11075
