Type,Distance,Strain,RSP
all_samples,0.052,DB,RSP13083
all_samples,0.075,DB,RSP12930
all_samples,0.109,DB,RSP12936
all_samples,0.173,Black Triangle,RSP11638
all_samples,0.186,GG#4,RSP11461
all_samples,0.187501,501st OG,RSP11241
all_samples,0.193,RKM-2018-032,RSP11124
all_samples,0.194,RKM-2018-021,RSP11113
all_samples,0.196,RKM-2018-017,RSP11109
all_samples,0.198,GG4,RSP12096
all_samples,0.2,Lemon OG Haze,RSP11977
all_samples,0.202,SHERBERT,RSP11355
all_samples,0.211,Tahoe OG,RSP11189
all_samples,0.216,RKM-2018-008,RSP11099
all_samples,0.217,JL Cross 10,RSP11511
all_samples,0.217,RKM-2018-012,RSP11103
all_samples,0.218,PK,RSP12932
all_samples,0.218,GG4,RSP11978
all_samples,0.218,T20 Dried,RSP13125
all_samples,0.219,Mother's Milk No. 31,RSP11623
base_tree,0.462,Jamaican Lion,RSP12916
base_tree,0.459,Jamaican Lion,RSP12913
base_tree,0.458,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.457,Cherry Blossom,RSP11317
base_tree,0.457,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.453,Jamaican Lion,RSP12917
base_tree,0.452,JL yellow,RSP11075
base_tree,0.451,Unknown-(Cherry Wine)-(004),RSP11271
base_tree,0.444,Jamaican Lion,RSP12915
base_tree,0.441,Tiger Tail (30),RSP11484
base_tree,0.44,Punta Roja,RSP12923
base_tree,0.437,Cherry Blossom,RSP11298
base_tree,0.436,Cherry Blossom,RSP11311
base_tree,0.435,Tanao Sri (46),RSP11486
base_tree,0.4358,80E,RSP11213
base_tree,0.431,Squirrel Tail (81),RSP11622
base_tree,0.429,Unknown-(Cherry Wine)-(002),RSP11269
base_tree,0.429,JL 3rd Gen Mother,RSP11214
