Type,Distance,Strain,RSP
all_samples,0.064,JL_x_MandarinCookies_XX_THC_5,RSP13167
all_samples,0.128,JL 4th Gen 2,RSP11194
all_samples,0.135,JL 4th Gen 1,RSP11193
all_samples,0.158,JL 4th Gen 3,RSP11195
all_samples,0.159,JL 4th Gen 4,RSP11198
all_samples,0.163,JL 3rd Gen Mother,RSP11197
all_samples,0.163,JL yellow,RSP11075
all_samples,0.168,JL 3rd Gen Mother,RSP11214
all_samples,0.174,Jamaican Lion,RSP12917
all_samples,0.176,Jamaican Lion,RSP12918
all_samples,0.177,Jamaican Lion,RSP12915
all_samples,0.178,Jamaican Lion,RSP12919
all_samples,0.18,JL 4th Gen 5,RSP11199
all_samples,0.182,Jamaican Lion,RSP12920
all_samples,0.191,Jamaican Lion,RSP12916
all_samples,0.193,JL 4th Gen 6,RSP11200
all_samples,0.197,Original Jamaican Lions,RSP11127
all_samples,0.202,JL 4th Gen 7,RSP11153
all_samples,0.222,Jamaican Lion,RSP12913
all_samples,0.24,Zac x JL,RSP13126
base_tree,0.547,BCH Rt-Fl,RSP13141
base_tree,0.472,PK Dried,RSP13123
base_tree,0.466,Chem 91,RSP11185
base_tree,0.455,Purple Urkle,RSP12890
base_tree,0.453,JL Cross 6,RSP11507
base_tree,0.452,Rainbow Belts 1.0,RSP12911
base_tree,0.452,GMO x Poison Momosa,RSP12626
base_tree,0.452,Red Eye OG,RSP11190
base_tree,0.451,Fatso,RSP11741
base_tree,0.45,Cherry Blossom,RSP11317
base_tree,0.448,Feral,RSP11205
base_tree,0.447,CHEM4,RSP12090
base_tree,0.446,CS,RSP11208
base_tree,0.4458,80E,RSP11213
base_tree,0.441,Rainbow Belts 3.0 #11,RSP12801
base_tree,0.441,Sour Tsunami x Cataract Ku,RSP11183
base_tree,0.439,T20 Dried,RSP13125
base_tree,0.438,JL Cross 14,RSP11515
base_tree,0.438,Animal Tree x [REDACTED] #4,RSP12792
base_tree,0.436,S21-002-01,RSP12656
