Type,Distance,Strain,RSP
all_samples,0.258,Badger G,RSP13082
all_samples,0.265,AC/DC G,RSP13216
all_samples,0.302,Ringo's Angel,RSP10085
all_samples,0.309,CBG Berry,RSP11446
all_samples,0.312,CBG-#40,RSP11444
all_samples,0.313,Joy,RSP11380
all_samples,0.315,Purple Urkle,RSP12890
all_samples,0.316,Thank You Jerry,RSP11459
all_samples,0.32,A5 Haze,RSP12815
all_samples,0.32,CBG #30,RSP11447
all_samples,0.321,Trump x Trump,RSP11466
all_samples,0.322,T20 Dried,RSP13125
all_samples,0.325,Rest,RSP11377
all_samples,0.325,A5 Haze,RSP12816
all_samples,0.325,Electra,RSP11366
all_samples,0.328,RKM-2018-026,RSP11118
all_samples,0.328,Badger,RSP11614
all_samples,0.329,Tahoe OG,RSP11189
all_samples,0.329,Cbot-2019-005,RSP11133
all_samples,0.33,CDSD,RSP13084
base_tree,0.506,Cherry Blossom,RSP11329
base_tree,0.501,Cherry Blossom,RSP11306
base_tree,0.481,Cherry Blossom,RSP11322
base_tree,0.4818,80E,RSP11213
base_tree,0.477,Brunswick High,RSP11164
base_tree,0.475,JL 3rd Gen Mother,RSP11214
base_tree,0.472,Jamaican Lion,RSP12916
base_tree,0.47,Jamaican Lion,RSP12917
base_tree,0.466,JL yellow,RSP11075
base_tree,0.466,Cherry Blossom,RSP11325
base_tree,0.4668,80E,RSP11211
base_tree,0.464,Cherry Blossom,RSP11330
base_tree,0.464,JL 4th Gen 4,RSP11198
base_tree,0.459,Tanao Sri (46),RSP11486
base_tree,0.459,Cherry Blossom,RSP11326
base_tree,0.458,Cherry Blossom,RSP11315
base_tree,0.458,Cherry Blossom CBG,RSP11303
base_tree,0.4588,80E,RSP11212
base_tree,0.454,JL 4th Gen 5,RSP11199
base_tree,0.454,Jamaican Lion,RSP12915
