Type,Distance,Strain,RSP
all_samples,0.14,EGf Buds,RSP13148
all_samples,0.175,Elc.Grp. Drying,RSP13121
all_samples,0.195,Pearadise x Pineapple Pez Melonade #6,RSP12978
all_samples,0.199,Styrofoam Cup x Pineapple Pez Melonade #5,RSP12979
all_samples,0.203,RKM-2018-020,RSP11112
all_samples,0.206,Rootbeer Rolex #50,RSP12645
all_samples,0.209,Serious Happiness,RSP10763
all_samples,0.213,Rest,RSP11377
all_samples,0.215,CDSD,RSP13084
all_samples,0.215,SourD,RSP12092
all_samples,0.215,Styrofoam Cup x Diesel Truck OG #16,RSP12972
all_samples,0.217,Tahoe OG,RSP11189
all_samples,0.217,RKM-2018-013,RSP11104
all_samples,0.219,NSPM1,RSP11362
all_samples,0.219,Black Jack,RSP10603
all_samples,0.22,New BSR,RSP12104
all_samples,0.22,Miss X,RSP10999
all_samples,0.22,DNA Genetics - Tangie (Legend of Hash Seeds),RSP12921
all_samples,0.22,Domnesia,RSP11184
all_samples,0.22,Garlic,RSP11341
base_tree,0.449,Jamaican Lion,RSP12916
base_tree,0.442,Cherry Blossom,RSP11323
base_tree,0.435,Cherry Blossom,RSP11306
base_tree,0.435,Tanao Sri (46),RSP11486
base_tree,0.433,Cherry Blossom,RSP11318
base_tree,0.429,Brunswick High,RSP11164
base_tree,0.424,Big Red,RSP13217
base_tree,0.424,Jamaican Lion,RSP12917
base_tree,0.422,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.421,JL yellow,RSP11075
base_tree,0.419,Cherry Blossom,RSP11301
base_tree,0.411,Cherry Blossom,RSP11274
base_tree,0.41,Cherry Blossom,RSP11322
base_tree,0.409,Jamaican Lion,RSP12915
base_tree,0.409,Cherry Blossom,RSP11329
base_tree,0.402,Unknown-(Cherry Wine)-(002),RSP11269
base_tree,0.399,JL 3rd Gen Mother,RSP11214
base_tree,0.395,Cherry Blossom,RSP11325
