Type,Distance,Strain,RSP
all_samples,0.087,Animal Tree x [REDACTED] #4,RSP12792
all_samples,0.137,Animal Tree x [REDACTED] #2,RSP12793
all_samples,0.139,Rainbow Belts 1.0,RSP12911
all_samples,0.144,Rainbow Belts 3.0 #11,RSP12801
all_samples,0.148,SHERBERT,RSP11355
all_samples,0.171,Rainbow Belts 2.0,RSP12802
all_samples,0.199,GMO,RSP12091
all_samples,0.2,Black Triangle,RSP11638
all_samples,0.207,S21-002-01,RSP12656
all_samples,0.208,El Presidente,RSP12807
all_samples,0.21,Donnie Burger,RSP13219
all_samples,0.211,Donnie Burger,RSP13220
all_samples,0.214,DB St-Fl,RSP13142
all_samples,0.216,Lemon OG Haze,RSP11977
all_samples,0.219,DB,RSP13083
all_samples,0.22,DB,RSP12930
all_samples,0.222,Animal Tree,RSP12791
all_samples,0.225,Fatso,RSP11741
all_samples,0.226,DB Dried,RSP13119
all_samples,0.228,Rugburn OG,RSP11353
base_tree,0.534,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.53,Big Red,RSP13217
base_tree,0.529,Cherry Blossom,RSP11328
base_tree,0.512,Cherry Blossom,RSP11323
base_tree,0.512,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.498,Jamaican Lion,RSP12916
base_tree,0.492,Cherry Blossom,RSP11298
base_tree,0.491,Tanao Sri (46),RSP11486
base_tree,0.487,Jamaican Lion,RSP12917
base_tree,0.487,Cherry Blossom,RSP11309
base_tree,0.481,JL 3rd Gen Mother,RSP11214
base_tree,0.48,JL yellow,RSP11075
base_tree,0.479,Unknown-(Cherry Wine)-(002),RSP11269
base_tree,0.474,Jamaican Lion,RSP12915
base_tree,0.471,Jamaican Lion,RSP12913
base_tree,0.471,Avidekel_05MAY2017,RSP10938
base_tree,0.47,JL_X_NSPM1_12,RSP11472
base_tree,0.468,Cherry Blossom,RSP11327
base_tree,0.465,AVIDEKEL USA,RSP11169
base_tree,0.463,Cherry Blossom,RSP11318
