Type,Distance,Strain,RSP
all_samples,0.026,HM Buds,RSP13128
all_samples,0.046,HM Rt-Fl,RSP13130
all_samples,0.08,HM,RSP12941
all_samples,0.169,Eucalyptus,RSP12803
all_samples,0.184,CDSD,RSP13084
all_samples,0.184,East Coast Sour Diesel,RSP12922
all_samples,0.187,RKM-2018-034,RSP11126
all_samples,0.19,PMK 16953,RSP13111
all_samples,0.192,PMK 16949,RSP13110
all_samples,0.199,Peach Ringz,RSP12899
all_samples,0.202,UK Cheese,RSP12896
all_samples,0.204,Gorilla Cookies,RSP11231
all_samples,0.204,Cherry Lime Runtz,RSP12486
all_samples,0.207,CDSD,RSP12929
all_samples,0.207,Rootbeer Rolex #50,RSP12645
all_samples,0.208,GMO x [REDACTED] #43,RSP11976
all_samples,0.21,Deadhead OG,RSP11463
all_samples,0.211,RKM-2018-026,RSP11118
all_samples,0.217,CDSD,RSP12935
all_samples,0.218,Hermaphrodite_ResearchSample2,RSP11050
base_tree,0.459,Cherry Blossom,RSP11306
base_tree,0.457,Tanao Sri (46),RSP11486
base_tree,0.446,Cherry Blossom,RSP11328
base_tree,0.445,Cherry Blossom,RSP11325
base_tree,0.439,Cherry Blossom,RSP11330
base_tree,0.436,Cherry Blossom,RSP11309
base_tree,0.435,Cherry Blossom,RSP11323
base_tree,0.433,Cherry Blossom,RSP11317
base_tree,0.431,Chematonic (Cannatonic x Chemdawg),RSP11394
base_tree,0.429,Cherry Blossom,RSP11318
base_tree,0.429,Cherry Blossom,RSP11300
base_tree,0.428,Wife,RSP11148
base_tree,0.428,Cherry Blossom,RSP11322
base_tree,0.426,Cherry Blossom,RSP11312
base_tree,0.426,Jamaican Lion,RSP12916
base_tree,0.424,Avidekel_05MAY2017,RSP10938
base_tree,0.423,Cherry Blossom,RSP11298
base_tree,0.422,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.419,CBD2 V.2,RSP12669
base_tree,0.414,Brunswick High,RSP11164
