Type,Distance,Strain,RSP
all_samples,0.135,Electra,RSP11366
all_samples,0.145,Doug's Varin,RSP11243
all_samples,0.146,Domnesia,RSP11184
all_samples,0.15,Serious Happiness,RSP10763
all_samples,0.15,Donnie Burger,RSP13219
all_samples,0.151,DB,RSP13083
all_samples,0.153,Donnie Burger,RSP13220
all_samples,0.155,Lift,RSP11378
all_samples,0.159,CBG-#40,RSP11444
all_samples,0.162,DB St-Fl,RSP13142
all_samples,0.163,Trump x Trump,RSP11466
all_samples,0.163,Rest,RSP11377
all_samples,0.166,A29-St-M-Rw,RSP13189
all_samples,0.169,Blueberry Cheesecake,RSP10684
all_samples,0.17,A29-Rt-M-Rw,RSP13188
all_samples,0.174,DB Dried,RSP13119
all_samples,0.175,JL_X_NSPM1_7,RSP11469
all_samples,0.175,Suver Haze,RSP11364
all_samples,0.177,Badger,RSP11614
all_samples,0.177,Thank You Jerry,RSP11459
base_tree,0.447,Jamaican Lion,RSP12916
base_tree,0.426,JL yellow,RSP11075
base_tree,0.42,Jamaican Lion,RSP12917
base_tree,0.4198,80E,RSP11213
base_tree,0.418,Big Red,RSP13217
base_tree,0.403,Jamaican Lion,RSP12915
base_tree,0.401,Jamaican Lion,RSP12913
base_tree,0.398,Cherry Blossom,RSP11323
base_tree,0.398,Tanao Sri (46),RSP11486
base_tree,0.397,JL 3rd Gen Mother,RSP11214
base_tree,0.3938,80E,RSP11212
base_tree,0.3908,80E,RSP11211
base_tree,0.386,CS Indica,RSP11658
