Type,Distance,Strain,RSP
all_samples,0.315,JL Cross 6,RSP11507
all_samples,0.324,Liberty Haze,RSP11000
all_samples,0.329,Chem 91,RSP11185
all_samples,0.338,Purple Urkle,RSP12890
all_samples,0.338,JL Cross 14,RSP11515
all_samples,0.339,Trump x Trump,RSP11466
all_samples,0.339,Master Kush,RSP11182
all_samples,0.34,Sour Tsunami x Cataract Ku,RSP11183
all_samples,0.341,Recon,RSP10755
all_samples,0.341,Pie Face Mac,RSP11974
all_samples,0.344,Saint Jack,RSP11179
all_samples,0.346,Headcheese,RSP11192
all_samples,0.347,Original Diesel,RSP12895
all_samples,0.347,SHERBERT,RSP11355
all_samples,0.347,Tahoe OG,RSP11189
all_samples,0.348,Peanut Butter Breath,RSP11640
all_samples,0.35,SLH C3,RSP12943
all_samples,0.35,SLH Buds,RSP13131
all_samples,0.352,RKM-2018-001,RSP11092
all_samples,0.352,Deadhead OG,RSP11463
base_tree,0.623,Jamaican Lion,RSP12916
base_tree,0.614,JL 3rd Gen Mother,RSP11214
base_tree,0.607,JL yellow,RSP11075
base_tree,0.604,Jamaican Lion,RSP12917
base_tree,0.585,JL 4th Gen 6,RSP11200
base_tree,0.578,Jamaican Lion,RSP12915
base_tree,0.576,JL 3rd Gen Mother,RSP11197
base_tree,0.56,JL 4th Gen 1,RSP11193
base_tree,0.539,JL 4th Gen 5,RSP11199
base_tree,0.53,JL_Tent_4,RSP11491
base_tree,0.523,JL 4th Gen 3,RSP11195
base_tree,0.514,Cherry Blossom,RSP11323
base_tree,0.513,JL 4th Gen 4,RSP11198
base_tree,0.511,JL Cross 9,RSP11510
base_tree,0.51,JL 4th Gen 2,RSP11194
base_tree,0.508,JL_Tent_2,RSP11489
base_tree,0.507,JL_x_NSPM1_4,RSP11482
base_tree,0.507,JL Cross 17,RSP11518
base_tree,0.506,Original Jamaican Lions,RSP11127
base_tree,0.502,Jamaican Lion,RSP12913
