Type,Distance,Strain,RSP
all_samples,0.048,FBS044 (Fenix #2),RSP13261
all_samples,0.228,Tak-HN,RSP11618
all_samples,0.234,R4,RSP11617
all_samples,0.247,R3,RSP11616
all_samples,0.25,KYRG-151,RSP11052
all_samples,0.252,R1,RSP11483
all_samples,0.254,Blch-Rt-RW,RSP13199
all_samples,0.255,R2,RSP11615
all_samples,0.259,Elite (Hemp),RSP13222
all_samples,0.261,Tygra,RSP10667
all_samples,0.262,Tisza,RSP10659
all_samples,0.267,Tisza,RSP11045
base_tree,0.46,BCH Rt-Fl,RSP13141
base_tree,0.459,Cherry Blossom,RSP11318
base_tree,0.434,El Gordo Dried,RSP13122
base_tree,0.433,Cherry Blossom,RSP11300
base_tree,0.432,Big Red,RSP13217
base_tree,0.427,Cherry Blossom,RSP11301
base_tree,0.426,Chematonic (Cannatonic x Chemdawg),RSP11394
base_tree,0.422,Cherry Blossom,RSP11323
base_tree,0.42,Jamaican Lion,RSP12916
base_tree,0.418,Cherry Blossom,RSP11322
base_tree,0.417,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.416,El Gordo,RSP12938
base_tree,0.416,EG2 Roots,RSP13096
base_tree,0.416,Rainbow Belts 1.0,RSP12911
base_tree,0.416,Medxotic,RSP11410
base_tree,0.415,EG2 Leaves,RSP13094
base_tree,0.415,Chem 91,RSP11185
base_tree,0.415,Cherry Blossom,RSP11325
base_tree,0.413,Wilburs Great Adventure,RSP11727
base_tree,0.413,EG2 Stems,RSP13095
