Type,Distance,Strain,RSP
all_samples,0.103,Pearadise x Orange Juice #4,RSP12975
all_samples,0.158,PGB x Tropical Juice Box #2,RSP13391
all_samples,0.164,Mother's Milk No. 31,RSP11623
all_samples,0.174,unknown,RSP11432
all_samples,0.175,Styrofoam Cup x Diesel Truck OG #16,RSP12972
all_samples,0.183,Crème de la Crème x Styrofoam Cup #11,RSP13402
all_samples,0.185,Fresca Melon x Styrofoam Cup #6,RSP13398
all_samples,0.187,Mothers Milk #5,RSP11186
all_samples,0.189,Styrofoam Cup x Orange Juice #5,RSP12974
all_samples,0.194,Motor Breath #15,RSP12093
all_samples,0.195,PD Lf-M,RSP13150
all_samples,0.195,PD St-M,RSP13149
all_samples,0.196,Styrofoam Cup x Pineapple Pez Melonade #3,RSP12976
all_samples,0.196,Lime OG,RSP12101
all_samples,0.199,Garlic,RSP11341
all_samples,0.199,JL Cross 13,RSP11514
all_samples,0.199,Pearadise x Orange Juice #2,RSP12981
all_samples,0.2,Powdered Donuts,RSP13270
all_samples,0.2,Headcheese,RSP11192
all_samples,0.201,Blueberry Cheesecake,RSP10684
base_tree,0.458,Cherry Blossom,RSP11311
base_tree,0.455,Jamaican Lion,RSP12913
base_tree,0.452,Big Red,RSP13217
base_tree,0.435,Cherry Blossom,RSP11318
base_tree,0.43,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.428,Jamaican Lion,RSP12916
base_tree,0.427,Northern Skunk,RSP11456
base_tree,0.423,Cherry Blossom,RSP11314
base_tree,0.421,Cherry Blossom,RSP11328
base_tree,0.42,Cherry Blossom,RSP11323
base_tree,0.415,Cherry Blossom,RSP11312
base_tree,0.415,JL 3rd Gen Father,RSP11196
base_tree,0.412,Cherry Blossom,RSP11317
base_tree,0.412,Tiger Tail (30),RSP11484
base_tree,0.412,Cherry Blossom,RSP11300
base_tree,0.41,Cbot-2019-005,RSP11133
base_tree,0.41,Jamaican Lion,RSP12920
base_tree,0.408,Jamaican Lion,RSP12918
base_tree,0.408,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.408,Jamaican Lion,RSP12919
