Type,Distance,Strain,RSP
all_samples,0.151,PK,RSP12932
all_samples,0.151,PK,RSP13087
all_samples,0.164,PK,RSP12926
all_samples,0.164,PK Drying,RSP13124
all_samples,0.173,RKM-2018-008,RSP11099
all_samples,0.173,SourD,RSP12092
all_samples,0.175,The Gift,RSP10988
all_samples,0.176,Serious Happiness,RSP10763
all_samples,0.19,Domnesia,RSP11184
all_samples,0.192,RKM-2018-013,RSP11104
all_samples,0.192,PK Dried,RSP13123
all_samples,0.196,Deadhead OG,RSP11463
all_samples,0.196,Electra,RSP11366
all_samples,0.199,Whitey,RSP11363
all_samples,0.199,Lift,RSP11378
all_samples,0.202,Pearadise x Pineapple Pez Melonade #6,RSP12978
all_samples,0.202,Pure Power Plant,RSP11265
all_samples,0.203,Skywalker OG,RSP10837
all_samples,0.203,Doug's Varin,RSP11243
all_samples,0.203,SFVxTK,RSP11072
base_tree,0.465,Cherry Blossom,RSP11323
base_tree,0.448,Tanao Sri (46),RSP11486
base_tree,0.445,Jamaican Lion,RSP12916
base_tree,0.436,Cherry Blossom,RSP11328
base_tree,0.426,Cherry Blossom,RSP11318
base_tree,0.423,Jamaican Lion,RSP12917
base_tree,0.423,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.413,Cherry Blossom,RSP11298
base_tree,0.412,JL yellow,RSP11075
base_tree,0.412,Jamaican Lion,RSP12915
base_tree,0.4108,80E,RSP11213
base_tree,0.41,Jamaican Lion,RSP12913
base_tree,0.409,Cherry Blossom,RSP11309
base_tree,0.408,Chematonic (Cannatonic x Chemdawg),RSP11394
base_tree,0.405,Cherry Blossom,RSP11301
base_tree,0.403,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.401,Mendo Purps #2,RSP12799
base_tree,0.401,Cherry Blossom,RSP11274
base_tree,0.4,JL 3rd Gen Mother,RSP11214
base_tree,0.395,Brunswick High,RSP11164
