Type,Distance,Strain,RSP
all_samples,0.015,Blch Buds,RSP13134
all_samples,0.025,D1,RSP12875
all_samples,0.029,Blch Rt-Fl,RSP13135
all_samples,0.184,BCP Buds,RSP13137
all_samples,0.184,BCP St-Fl,RSP13140
all_samples,0.187,BCP Rt-Fl,RSP13138
all_samples,0.189,Blue Dream,RSP11004
all_samples,0.195,Rest,RSP11377
all_samples,0.195,Super Blue Dream,RSP11011
all_samples,0.195,Domnesia,RSP11184
all_samples,0.195,Blue Dream,RSP11017
all_samples,0.198,Blueberry Cheesecake,RSP10684
all_samples,0.199,Trump x Trump,RSP11466
all_samples,0.2,Electra,RSP11366
all_samples,0.201,Thank You Jerry,RSP11459
all_samples,0.201,Blue Dream,RSP11007
all_samples,0.204,Blue Dream,RSP11010
all_samples,0.204,Ringo's Angel,RSP10085
all_samples,0.207,Serious Happiness,RSP10763
all_samples,0.208,BCP Lf-Fl,RSP13139
base_tree,0.435,Cherry Blossom,RSP11328
base_tree,0.435,Jamaican Lion,RSP12916
base_tree,0.435,Cherry Blossom,RSP11323
base_tree,0.422,Cherry Blossom,RSP11311
base_tree,0.42,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.418,Cherry Blossom,RSP11314
base_tree,0.414,Jamaican Lion,RSP12917
base_tree,0.413,Cherry Blossom,RSP11317
base_tree,0.411,Cherry Blossom,RSP11318
base_tree,0.41,JL yellow,RSP11075
base_tree,0.407,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.405,JL 3rd Gen Mother,RSP11214
base_tree,0.403,Cherry Blossom,RSP11309
base_tree,0.402,Cherry Blossom,RSP11306
base_tree,0.402,Jamaican Lion,RSP12915
base_tree,0.397,Cherry Blossom,RSP11334
base_tree,0.396,Jamaican Lion,RSP12913
base_tree,0.396,Northern Lights,RSP11501
base_tree,0.393,CS Indica,RSP11658
base_tree,0.392,Unknown-(Cherry Wine)-(004),RSP11271
