Type,Distance,Strain,RSP
all_samples,0.016,EGd St-M,RSP13147
all_samples,0.018,EG2 Stems,RSP13095
all_samples,0.018,EG2 Roots,RSP13096
all_samples,0.021,EGd Rt-Fl,RSP13144
all_samples,0.028,EG2 Leaves,RSP13094
all_samples,0.036,El Gordo,RSP12938
all_samples,0.05,El Gordo Dried,RSP13122
all_samples,0.173,Chem 91,RSP11185
all_samples,0.178,Mother's Milk No. 31,RSP11623
all_samples,0.208,Styrofoam Cup x Cuban Linx #1,RSP12984
all_samples,0.213,Pearadise x Orange Juice #4,RSP12975
all_samples,0.213,RKM-2018-009,RSP11100
all_samples,0.215,GMO,RSP12091
all_samples,0.215,Styrofoam Cup x Pearadise #6,RSP12986
all_samples,0.216,Motor Breath #15,RSP12093
all_samples,0.217,RKM-2018-032,RSP11124
all_samples,0.219,RKM-2018-021,RSP11113
all_samples,0.22,RKM-2018-017,RSP11109
all_samples,0.22,GMO x [REDACTED] #43,RSP11976
all_samples,0.221,GG#4,RSP11461
base_tree,0.518,Cherry Blossom,RSP11311
base_tree,0.493,Cherry Blossom,RSP11335
base_tree,0.493,Northern Skunk,RSP11456
base_tree,0.493,Cherry Blossom,RSP11314
base_tree,0.491,Cherry Blossom,RSP11308
base_tree,0.481,Cherry Blossom,RSP11333
base_tree,0.475,Cherry Blossom,RSP11324
base_tree,0.471,Cherry Blossom,RSP11317
base_tree,0.465,Cherry Blossom,RSP11328
base_tree,0.461,Cherry Blossom,RSP11334
base_tree,0.459,Cherry Blossom,RSP11312
base_tree,0.458,Cherry Blossom,RSP11300
base_tree,0.458,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.457,Tiger Tail (30),RSP11484
base_tree,0.457,Unknown-(Cherry Wine)-(004),RSP11271
base_tree,0.456,CS,RSP11208
base_tree,0.453,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.453,Cbot-2019-005,RSP11133
base_tree,0.451,Avidekel_05MAY2017,RSP10938
base_tree,0.45,Feral,RSP11206
