Type,Distance,Strain,RSP
all_samples,0.04,PK-St-M,RSP13205
all_samples,0.04,PK-Lf-M,RSP13201
all_samples,0.043,PK Buds,RSP13153
all_samples,0.043,PK St-Fl,RSP13155
all_samples,0.045,PK,RSP13087
all_samples,0.047,PK,RSP12932
all_samples,0.048,PK-Rt-RW,RSP13204
all_samples,0.051,PK Rt-Fl,RSP13154
all_samples,0.055,PK Drying,RSP13124
all_samples,0.057,PK-Rt-BioG-,RSP13200
all_samples,0.058,PK-Rt-Coco,RSP13202
all_samples,0.062,PK,RSP12926
all_samples,0.092,PK Dried,RSP13123
all_samples,0.13,The Gift,RSP10988
all_samples,0.135,RKM-2018-008,RSP11099
all_samples,0.148,RKM-2018-013,RSP11104
all_samples,0.152,Rugburn OG,RSP11353
all_samples,0.155,SFVxTK,RSP11072
all_samples,0.158,Skywalker OG,RSP10837
all_samples,0.158,Absolute_OG,RSP11455
base_tree,0.486,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.478,Cherry Blossom,RSP11318
base_tree,0.472,Jamaican Lion,RSP12916
base_tree,0.471,Cherry Blossom,RSP11301
base_tree,0.469,Cherry Blossom,RSP11323
base_tree,0.468,Brunswick High,RSP11164
base_tree,0.467,Tanao Sri (46),RSP11486
base_tree,0.46,Jamaican Lion,RSP12917
base_tree,0.453,Unknown-(Cherry Wine)-(002),RSP11269
base_tree,0.451,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.449,Jamaican Lion,RSP12915
base_tree,0.448,JL 3rd Gen Father,RSP11196
base_tree,0.448,Cherry Blossom,RSP11300
base_tree,0.447,JL Cross 25,RSP11526
base_tree,0.443,Cherry Blossom,RSP11328
base_tree,0.442,Jamaican Lion,RSP12913
base_tree,0.442,Cherry Blossom,RSP11312
base_tree,0.442,JL yellow,RSP11075
base_tree,0.44,Cherry Blossom,RSP11306
base_tree,0.439,Cherry Blossom,RSP11274
