Type,Distance,Strain,RSP
all_samples,0.015,PK St-Fl,RSP13155
all_samples,0.016,PK,RSP13087
all_samples,0.019,PK,RSP12932
all_samples,0.024,PK Rt-Fl,RSP13154
all_samples,0.033,PK Drying,RSP13124
all_samples,0.043,PK,RSP12926
all_samples,0.07,PK Dried,RSP13123
all_samples,0.113,RKM-2018-008,RSP11099
all_samples,0.117,The Gift,RSP10988
all_samples,0.13,RKM-2018-013,RSP11104
all_samples,0.131,Rugburn OG,RSP11353
all_samples,0.14,SFVxTK,RSP11072
all_samples,0.142,DP Dried,RSP13143
all_samples,0.142,Skywalker OG,RSP10837
all_samples,0.142,RKM-2018-012,RSP11103
all_samples,0.148,Absolute_OG,RSP11455
all_samples,0.152,Elc.Grp. Drying,RSP13121
all_samples,0.158,Red Eye OG,RSP11190
all_samples,0.159,East side OG,RSP12089
all_samples,0.159,Pure Power Plant,RSP11265
base_tree,0.492,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.475,Cherry Blossom,RSP11301
base_tree,0.474,Cherry Blossom,RSP11323
base_tree,0.472,Cherry Blossom,RSP11318
base_tree,0.468,Tanao Sri (46),RSP11486
base_tree,0.465,Jamaican Lion,RSP12916
base_tree,0.461,Brunswick High,RSP11164
base_tree,0.461,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.46,Unknown-(Cherry Wine)-(002),RSP11269
base_tree,0.454,Cherry Blossom,RSP11328
base_tree,0.452,Jamaican Lion,RSP12917
base_tree,0.452,Cherry Blossom,RSP11298
base_tree,0.45,Cherry Blossom,RSP11312
base_tree,0.449,Cherry Blossom,RSP11300
base_tree,0.448,Cherry Blossom,RSP11309
base_tree,0.443,Cherry Blossom,RSP11306
base_tree,0.44,Jamaican Lion,RSP12915
base_tree,0.437,Avidekel_05MAY2017,RSP10938
base_tree,0.436,Jamaican Lion,RSP12913
base_tree,0.435,JL 3rd Gen Father,RSP11196
