Type,Distance,Strain,RSP
all_samples,0.051,A29-St-M-Rw,RSP13189
all_samples,0.097,A29-Lf-M-Rw,RSP13187
all_samples,0.166,Electra,RSP11366
all_samples,0.17,Domnesia,RSP11184
all_samples,0.188,Doug's Varin,RSP11243
all_samples,0.19,SHERBERT,RSP11355
all_samples,0.19,JL_X_NSPM1_7,RSP11469
all_samples,0.19,Lift,RSP11378
all_samples,0.195,Glitter Bomb,RSP12901
all_samples,0.196,PD St-M,RSP13149
all_samples,0.197,JFG,RSP13085
all_samples,0.197,Serious Happiness,RSP10763
all_samples,0.197,PD Lf-M,RSP13150
all_samples,0.198,Trump x Trump,RSP11466
all_samples,0.198,JL_X_NSPM1_14,RSP11473
all_samples,0.201,Old Family Purple,RSP12098
all_samples,0.203,Pieface,RSP12794
all_samples,0.203,Blueberry Cheesecake,RSP10684
all_samples,0.205,UnObtanium,RSP11611
all_samples,0.205,Badger,RSP11614
base_tree,0.419,Jamaican Lion,RSP12916
base_tree,0.4168,80E,RSP11213
base_tree,0.412,Northern Skunk,RSP11456
base_tree,0.412,Jamaican Lion,RSP12913
base_tree,0.411,Cherry Blossom,RSP11323
base_tree,0.397,JL yellow,RSP11075
base_tree,0.394,Jamaican Lion,RSP12917
base_tree,0.3938,80E,RSP11211
base_tree,0.392,Cherry Blossom,RSP11328
base_tree,0.388,JL 3rd Gen Father,RSP11196
base_tree,0.3878,80E,RSP11212
base_tree,0.38,JL 3rd Gen Mother,RSP11214
base_tree,0.38,Jamaican Lion,RSP12915
