Type,Distance,Strain,RSP
all_samples,0.16,Opalo,RSP13489
all_samples,0.184,"Swag Trinidat, by Kaly",RSP12876
all_samples,0.1878,80E,RSP11211
all_samples,0.1918,80E,RSP11212
all_samples,0.1948,80E,RSP11213
all_samples,0.201,Viho Tinto,RSP13488
all_samples,0.285,Tiger Tail (78),RSP11619
all_samples,0.289,Tak-HN,RSP11618
all_samples,0.289,T2R15,RSP12661
all_samples,0.293,Recon,RSP10755
all_samples,0.294,Squirrel Tail (31),RSP11485
all_samples,0.294,T4R2,RSP12662
all_samples,0.296,Elite (Hemp),RSP13222
all_samples,0.297,Santhica 27,RSP10665
all_samples,0.297,Tisza,RSP10659
all_samples,0.299,KYRG-151,RSP11052
all_samples,0.301,Tanao Sri-white (79),RSP11620
all_samples,0.301,T2R4,RSP12660
all_samples,0.302,Domnesia,RSP11184
base_tree,0.483,Cherry Blossom,RSP11318
base_tree,0.472,Cherry Blossom,RSP11323
base_tree,0.464,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.438,GG4,RSP11978
base_tree,0.438,Cherry Blossom,RSP11328
base_tree,0.436,Cherry Blossom,RSP11301
base_tree,0.435,Lemon Badger G Auto,RSP13215
base_tree,0.434,CHEM4,RSP12090
base_tree,0.433,Cherry Blossom,RSP11274
base_tree,0.431,Chem 91,RSP11185
base_tree,0.43,Super Sour Diesel,RSP11191
base_tree,0.429,BCH Rt-Fl,RSP13141
base_tree,0.427,Queen Dream CBG,RSP11295
base_tree,0.427,New York City Deisel,RSP11225
base_tree,0.427,Motor Breath #15,RSP12093
base_tree,0.427,Chemdog D,RSP13490
base_tree,0.427,Cherry Blossom,RSP11321
base_tree,0.426,QLE1,RSP11451
base_tree,0.426,Big Red,RSP13217
base_tree,0.426,Jamaican Lion,RSP12916
