Type,Distance,Strain,RSP
all_samples,0.171,Crème de la Crème x Styrofoam Cup #12,RSP13395
all_samples,0.193,Styrofoam Cup x Fuzzy Melon #1,RSP12977
all_samples,0.194,Styrofoam Cup x Fuzzy Melon #11,RSP12983
all_samples,0.196,Bolo Runtz x Styrofoam Cup #1,RSP13401
all_samples,0.201,El Presidente,RSP12807
all_samples,0.205,Biker Kush,RSP12910
all_samples,0.208,Hermaphrodite_ResearchSample2,RSP11050
all_samples,0.209,Crème de la Crème x Pearadise #14,RSP13396
all_samples,0.21,Styrofoam Cup x Orange Juice #5,RSP12974
all_samples,0.211,GMO,RSP12091
all_samples,0.211,Styrofoam Cup X Sh3rb3t #2,RSP13102
all_samples,0.211,Styrofoam Cup x Cuban Linx #6,RSP12982
all_samples,0.212,Runtz (RO3),RSP13306
all_samples,0.214,Champelli OJ,RSP12805
all_samples,0.215,BagSeed,RSP12501
all_samples,0.215,White Cherry Gelato-V (D15),RSP13305
all_samples,0.216,Crème de la Crème x Styrofoam Cup #2,RSP13394
all_samples,0.216,Garlic,RSP11341
all_samples,0.216,East Coast Sour Diesel,RSP12922
all_samples,0.217,Pearadise x Orange Juice #2,RSP12981
base_tree,0.511,Cherry Blossom,RSP11318
base_tree,0.491,Big Red,RSP13217
base_tree,0.474,Cherry Blossom,RSP11323
base_tree,0.463,Cherry Blossom,RSP11301
base_tree,0.461,Cherry Blossom,RSP11328
base_tree,0.458,Tanao Sri (46),RSP11486
base_tree,0.455,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.443,Cold Weather Cherry,RSP11414
base_tree,0.441,Chematonic (Cannatonic x Chemdawg),RSP11394
base_tree,0.439,Cherry Blossom,RSP11300
base_tree,0.439,Cherry Blossom,RSP11325
base_tree,0.436,AVIDEKEL 2.0,RSP11174
base_tree,0.434,Cherry Blossom,RSP11306
base_tree,0.428,Cherry Blossom,RSP11326
base_tree,0.428,Avidekel_05MAY2017,RSP10938
base_tree,0.423,Cherry Blossom,RSP11321
base_tree,0.422,Cold Weather Stout,RSP11418
base_tree,0.421,Cherry Blossom,RSP11331
base_tree,0.421,Cherry Blossom,RSP11322
base_tree,0.42,Cherry Blossom,RSP11302
