Type,Distance,Strain,RSP
all_samples,0.124,Cbot-2019-003,RSP11131
all_samples,0.191101,101st AIRBORN CBD,RSP11350
all_samples,0.194,Cherry Blossom,RSP11320
all_samples,0.197,Suver Haze,RSP11364
all_samples,0.202,CANNATONIC,RSP11349
all_samples,0.208,Wife,RSP11148
all_samples,0.21,Cherry Wine,RSP11305
all_samples,0.211,Cherry Wine,RSP11307
all_samples,0.212,FL30 7/11/2019,RSP11361
all_samples,0.213,Electra,RSP11366
all_samples,0.214,Cbot-2019-005,RSP11133
all_samples,0.217,Avidekel_05MAY2017,RSP10938
all_samples,0.22,Cbot-2019-001,RSP11129
all_samples,0.223,Unknown-(Cherry Wine)-(005),RSP11272
all_samples,0.23,Lift,RSP11378
all_samples,0.23,Midnight_05MAY2017,RSP10941
all_samples,0.231,Liberty Haze,RSP11000
all_samples,0.234,Cherry Blossom,RSP11332
all_samples,0.235,Lifter,RSP11365
all_samples,0.235,CBD4,RSP12671
base_tree,0.461,BagSeed,RSP12501
base_tree,0.454,BagSeed,RSP12627
base_tree,0.451,El Gordo Dried,RSP13122
base_tree,0.448,Styrofoam Cup x Cuban Linx #4,RSP12970
base_tree,0.448,Fatso,RSP11741
base_tree,0.448,EGd St-M,RSP13147
base_tree,0.446,Star Dawg,RSP11352
base_tree,0.446,El Gordo,RSP12938
base_tree,0.445,EGd Rt-Fl,RSP13144
base_tree,0.444,Chem 91,RSP11185
base_tree,0.442,EG2 Leaves,RSP13094
base_tree,0.442,EG2 Stems,RSP13095
base_tree,0.442,GMO x [REDACTED] #43,RSP11976
base_tree,0.441,EGd Rt-M,RSP13146
base_tree,0.44,EG2 Roots,RSP13096
base_tree,0.44,Jamaican Lion,RSP12916
base_tree,0.434,Muscovite,RSP12809
base_tree,0.433,Styrofoam Cup x Cuban Linx #1,RSP12984
base_tree,0.433,Styrofoam Cup x Diesel Truck OG #16,RSP12972
