Type,Distance,Strain,RSP
all_samples,0.098,Blch-Rt-RW,RSP13199
all_samples,0.16,C-930 lot 211005,RSP12603
all_samples,0.173,Tygra,RSP10667
all_samples,0.178,Santhica 27,RSP10665
all_samples,0.183,Santhica27,RSP10056
all_samples,0.184,Lovrin,RSP10658
all_samples,0.188,KYRG-151,RSP11052
all_samples,0.189,Tisza,RSP10659
all_samples,0.193,Futura 75,RSP10664
all_samples,0.194,Fedora 17,RSP10661
all_samples,0.195,Santhica27,RSP11046
all_samples,0.195,Electra,RSP11366
all_samples,0.196,Tak-HN,RSP11618
all_samples,0.204,Monoica,RSP10241
all_samples,0.204,Fedora 17,RSP11203
all_samples,0.204,Santhica27,RSP11047
all_samples,0.206,USO 31,RSP10981
base_tree,0.427,BCH Rt-Fl,RSP13141
base_tree,0.419,Big Red,RSP13217
base_tree,0.417,Jamaican Lion,RSP12916
base_tree,0.411,El Gordo Dried,RSP13122
base_tree,0.411,Cherry Blossom,RSP11318
base_tree,0.403,Cherry Blossom,RSP11301
base_tree,0.401,Cherry Blossom,RSP11323
base_tree,0.393,Chematonic (Cannatonic x Chemdawg),RSP11394
base_tree,0.392,El Gordo,RSP12938
base_tree,0.39,Chem 91,RSP11185
base_tree,0.389,Jamaican Lion,RSP12917
base_tree,0.388,EGd St-M,RSP13147
base_tree,0.388,Cherry Blossom,RSP11328
base_tree,0.388,BCP Lf-MET,RSP13190
base_tree,0.387,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.387,Rainbow Belts 1.0,RSP12911
base_tree,0.386,EGd Rt-Fl,RSP13144
base_tree,0.385,EG2 Leaves,RSP13094
base_tree,0.384,EG2 Stems,RSP13095
base_tree,0.384,Animal Tree x [REDACTED] #4,RSP12792
