Type,Distance,Strain,RSP
all_samples,0.268,Cbot-2019-005,RSP11133
all_samples,0.294,Cbot-2019-003,RSP11131
all_samples,0.299,Sparrow,RSP11443
all_samples,0.302,Stormy,RSP11454
all_samples,0.31,JL Cross 14,RSP11515
all_samples,0.31,Danny Noonan,RSP11070
all_samples,0.313,Rootbeer Rolex #50,RSP12645
all_samples,0.314,EGd Lf-M,RSP13145
all_samples,0.315,RAPHAEL #2,RSP11172
all_samples,0.316,Cherry Blossom,RSP11333
all_samples,0.317,BIG E x Unknown,RSP12730
all_samples,0.318,Cbot-2019-002,RSP11130
all_samples,0.318,Star Dawg,RSP11352
all_samples,0.318,White Cherry Gelato-V (D15),RSP13305
all_samples,0.318,Unknown-(Cherry Wine)-(005),RSP11272
all_samples,0.319,Runtz (RO3),RSP13306
all_samples,0.321,Peanut Butter Breath,RSP11640
all_samples,0.323101,101st AIRBORN CBD,RSP11350
all_samples,0.323,Purple Urkle,RSP12890
all_samples,0.324,Runtz Myflora,RSP13472
base_tree,0.545,Cherry Blossom,RSP11318
base_tree,0.484,Cherry Blossom,RSP11326
base_tree,0.48,Jamaican Lion,RSP12916
base_tree,0.477,Escape Velocity,RSP11165
base_tree,0.477,Dave Pineapple,RSP11626
base_tree,0.469,Jamaican Lion,RSP12917
base_tree,0.469,JL 3rd Gen Mother,RSP11214
base_tree,0.466,JL Cross 9,RSP11510
base_tree,0.462,Jamaican Lion,RSP12915
base_tree,0.462,JL yellow,RSP11075
base_tree,0.461,JL Cross 2,RSP11503
base_tree,0.461,JL x MC7,RSP13213
base_tree,0.46,JL Cross 19,RSP11520
base_tree,0.458,JL 4th Gen 2,RSP11194
base_tree,0.458,Glueberry OG,RSP11222
base_tree,0.455,Jacks Cleaner,RSP11347
base_tree,0.454,SO6,RSP11452
base_tree,0.452,Cherry Blossom,RSP11323
base_tree,0.451,Erez_05MAY2017,RSP10942
