Type,Distance,Strain,RSP
all_samples,0.101,Pearadise x Cookie Dough #11,RSP13106
all_samples,0.143,Fresca Melon x Styrofoam Cup #6,RSP13398
all_samples,0.148,PD St-M,RSP13149
all_samples,0.148,Crème de la Crème x Pearadise #14,RSP13396
all_samples,0.152,Powdered Donuts,RSP13270
all_samples,0.154,Powdered Donuts,RSP13268
all_samples,0.155,PD Lf-M,RSP13150
all_samples,0.155,Pearadise x Fuzzy Melon #7,RSP13103
all_samples,0.155,Powdered Donuts,RSP13263
all_samples,0.155,Powdered Donuts,RSP13273
all_samples,0.156,Powdered Donuts,RSP13272
all_samples,0.157,Powdered Donuts,RSP13266
all_samples,0.158,Mexican Flan x Audios mother fu*ker,RSP12906
all_samples,0.161,JFG,RSP13085
all_samples,0.162,Styrofoam Cup x Pearadise #6,RSP12986
all_samples,0.163,Powdered Donuts,RSP13264
all_samples,0.165,Miami Beach #1,RSP13108
all_samples,0.167,Fresca Melon x Pearadise #15,RSP13399
all_samples,0.168,Powdered Donuts,RSP13269
all_samples,0.171,JFG,RSP12927
base_tree,0.447,Big Red,RSP13217
base_tree,0.444,Cherry Blossom,RSP11318
base_tree,0.443,Cherry Blossom,RSP11323
base_tree,0.441,Northern Skunk,RSP11456
base_tree,0.436,Cherry Blossom,RSP11311
base_tree,0.436,Cherry Blossom,RSP11317
base_tree,0.436,Jamaican Lion,RSP12913
base_tree,0.434,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.432,Cherry Blossom,RSP11328
base_tree,0.424,Cherry Blossom,RSP11314
base_tree,0.417,Cherry Blossom,RSP11312
base_tree,0.417,Avidekel_05MAY2017,RSP10938
base_tree,0.416,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.412,Tiger Tail (30),RSP11484
base_tree,0.412,Cherry Blossom,RSP11309
base_tree,0.41,Jamaican Lion,RSP12916
base_tree,0.409,Cherry Blossom,RSP11274
base_tree,0.406,Punta Roja,RSP12923
