Type,Distance,Strain,RSP
all_samples,0.152,Peach Ozz x  Styrofoam Cup #4,RSP13392
all_samples,0.168,Styrofoam Cup x Pearadise #6,RSP12986
all_samples,0.178,Pearadise,RSP13100
all_samples,0.19,Pearadise x Orange Juice #2,RSP12981
all_samples,0.193,Center Mark,RSP11629
all_samples,0.198,Nage Champa Rose,RSP12874
all_samples,0.203,Crème de la Crème x Pearadise #14,RSP13396
all_samples,0.204,Styrofoam Cup x Pineapple Pez Melonade #3,RSP12976
all_samples,0.206,Durban Poison #1,RSP11013
all_samples,0.208,Crème de la Crème x Styrofoam Cup #11,RSP13402
all_samples,0.209,Nag Champa #7,RSP12865
all_samples,0.214,Fresca Melon x Pearadise #15,RSP13399
all_samples,0.219,Styrofoam Cup x Diesel Truck OG #16,RSP12972
all_samples,0.219,Durban Poison #1,RSP10996
all_samples,0.22,Pearadise x Pineapple Pez Melonade #6,RSP12978
all_samples,0.222,Miami Beach #1,RSP13108
all_samples,0.222,Gold Cracker,RSP11041
all_samples,0.222,Gold Cracker,RSP11048
all_samples,0.223,TropCookies,RSP12097
all_samples,0.223,Fresca Melon x Styrofoam Cup #6,RSP13398
base_tree,0.472,Cherry Blossom,RSP11318
base_tree,0.445,Cherry Blossom,RSP11311
base_tree,0.444,Cherry Blossom,RSP11314
base_tree,0.44,Cherry Blossom,RSP11323
base_tree,0.434,Cherry Blossom,RSP11274
base_tree,0.428,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.427,Big Red,RSP13217
base_tree,0.42,Cherry Blossom,RSP11333
base_tree,0.42,Northern Skunk,RSP11456
base_tree,0.418,BCH Rt-Fl,RSP13141
base_tree,0.418,Cherry Blossom,RSP11334
base_tree,0.416,Cherry Blossom,RSP11306
base_tree,0.413,Cherry Blossom,RSP11324
base_tree,0.412,CS,RSP11208
base_tree,0.41,Cherry Blossom,RSP11335
base_tree,0.409,Cherry Blossom,RSP11329
base_tree,0.408,Cherry Blossom,RSP11325
base_tree,0.407,Cherry Blossom,RSP11301
base_tree,0.406,Cherry Blossom,RSP11308
base_tree,0.402,Cherry Blossom,RSP11331
