Type,Distance,Strain,RSP
all_samples,0.095,Black 84,RSP11188
all_samples,0.234,Banana Kush,RSP11739
all_samples,0.236,Rest,RSP11377
all_samples,0.247,Miss X,RSP10999
all_samples,0.254,Trump x Trump,RSP11466
all_samples,0.256,Lemon G13,RSP11465
all_samples,0.264,JL Cross 3,RSP11504
all_samples,0.265,Domnesia,RSP11184
all_samples,0.265,Badger,RSP11614
all_samples,0.266,Thank You Jerry,RSP11459
all_samples,0.266,GPie x GodMac cross,RSP13223
all_samples,0.268,Tenth Planet (Leaves),RSP13180
all_samples,0.268,Blueberry Cheesecake,RSP10684
all_samples,0.271,Master Kush,RSP11182
all_samples,0.271,Suver Haze,RSP11364
all_samples,0.272,Serious Happiness,RSP10763
all_samples,0.272,Liberty Haze,RSP10946
all_samples,0.275,RKM-2018-001,RSP11092
all_samples,0.275,Lift,RSP11378
all_samples,0.276,Durban Poison #1,RSP10996
base_tree,0.474,Jamaican Lion,RSP12916
base_tree,0.465,JL 3rd Gen Mother,RSP11214
base_tree,0.463,Jamaican Lion,RSP12917
base_tree,0.458,JL yellow,RSP11075
base_tree,0.449,XY34483,RSP13511
base_tree,0.444,Jamaican Lion,RSP12915
base_tree,0.441,Big Red,RSP13217
base_tree,0.44,Cherry Blossom,RSP11298
base_tree,0.427,Jamaican Lion,RSP12920
base_tree,0.427,Jamaican Lion,RSP12918
base_tree,0.425,Jamaican Lion,RSP12919
base_tree,0.425,JL 3rd Gen Mother,RSP11197
base_tree,0.424,Unknown-(Cherry Wine)-(002),RSP11269
base_tree,0.418,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.418,Cherry Blossom,RSP11317
base_tree,0.418,GMO x Garlic Breath,RSP12507
base_tree,0.417,BagSeed,RSP12627
base_tree,0.4172,2nd Gen Cherry,RSP11141
base_tree,0.416,Jamaican Lion,RSP12913
base_tree,0.415,Unknown-(Cherry Wine)-(004),RSP11271
