Type,Distance,Strain,RSP
all_samples,0.024,Blch Buds,RSP13134
all_samples,0.029,Blch St-Fl,RSP13136
all_samples,0.03,D1,RSP12875
all_samples,0.182,BCP St-Fl,RSP13140
all_samples,0.183,BCP Buds,RSP13137
all_samples,0.187,BCP Rt-Fl,RSP13138
all_samples,0.192,Rest,RSP11377
all_samples,0.195,Electra,RSP11366
all_samples,0.197,Ringo's Angel,RSP10085
all_samples,0.197,Blueberry Cheesecake,RSP10684
all_samples,0.198,Domnesia,RSP11184
all_samples,0.2,Blue Dream,RSP11017
all_samples,0.2,Trump x Trump,RSP11466
all_samples,0.201,Blue Dream,RSP11004
all_samples,0.201,Serious Happiness,RSP10763
all_samples,0.202,Blue Dream,RSP11010
all_samples,0.203,Super Blue Dream,RSP11011
all_samples,0.203,CBG-#40,RSP11444
all_samples,0.204,Thank You Jerry,RSP11459
all_samples,0.207,Lift,RSP11378
base_tree,0.435,Jamaican Lion,RSP12916
base_tree,0.43,Cherry Blossom,RSP11323
base_tree,0.426,Cherry Blossom,RSP11328
base_tree,0.42,Cherry Blossom,RSP11311
base_tree,0.415,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.414,Cherry Blossom,RSP11314
base_tree,0.409,Cherry Blossom,RSP11318
base_tree,0.409,Jamaican Lion,RSP12917
base_tree,0.407,JL yellow,RSP11075
base_tree,0.406,Cherry Blossom,RSP11317
base_tree,0.405,JL 3rd Gen Mother,RSP11214
base_tree,0.4,Jamaican Lion,RSP12915
base_tree,0.399,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.396,Cherry Blossom,RSP11334
base_tree,0.394,Cherry Blossom,RSP11309
base_tree,0.394,Northern Lights,RSP11501
base_tree,0.392,Jamaican Lion,RSP12913
base_tree,0.392,Cherry Blossom,RSP11306
base_tree,0.39,CS Indica,RSP11658
base_tree,0.389,Unknown-(Cherry Wine)-(004),RSP11271
