Type,Distance,Strain,RSP
all_samples,0.027,Runtz,RSP13426
all_samples,0.027,"RO3 by ""3R Bio""",RSP13429
all_samples,0.038,White Cherry Gelato-V (D15),RSP13305
all_samples,0.042,Runtz (RO3),RSP13306
all_samples,0.058,Pink Runtz (VO1),RSP13307
all_samples,0.06,Purple Urkle,RSP12890
all_samples,0.154,Bolo Runtz x Styrofoam Cup #1,RSP13401
all_samples,0.171,Absolute_OG,RSP11455
all_samples,0.186,SFVxTK,RSP11072
all_samples,0.189,Skywalker OG,RSP10837
all_samples,0.194,CDSD,RSP13084
all_samples,0.196,UK Cheese,RSP12896
all_samples,0.199,East side OG,RSP12089
all_samples,0.201,Red Eye OG,RSP11190
all_samples,0.201,Rootbeer Rolex #50,RSP12645
all_samples,0.204,Super Runtz,RSP12810
all_samples,0.205,RKM-2018-013,RSP11104
all_samples,0.207,Cherry Lime Runtz,RSP12486
all_samples,0.207,T20H,RSP13092
all_samples,0.207,Powdered Donuts,RSP13268
base_tree,0.472,Jamaican Lion,RSP12916
base_tree,0.465,Tanao Sri (46),RSP11486
base_tree,0.465,JL yellow,RSP11075
base_tree,0.459,Jamaican Lion,RSP12917
base_tree,0.454,Cherry Blossom,RSP11306
base_tree,0.452,Super Silver Haze,RSP12737
base_tree,0.451,Cherry Blossom,RSP11318
base_tree,0.448,Northern Skunk,RSP11456
base_tree,0.446,Big Red,RSP13217
base_tree,0.446,JL 3rd Gen Mother,RSP11214
base_tree,0.443,Cherry Blossom,RSP11301
base_tree,0.443,Cherry Blossom,RSP11325
base_tree,0.441,Jamaican Lion,RSP12915
base_tree,0.44,JL 4th Gen 5,RSP11199
base_tree,0.438,JL 4th Gen 6,RSP11200
base_tree,0.434,JL 3rd Gen Mother,RSP11197
base_tree,0.433,JL 4th Gen 1,RSP11193
base_tree,0.433,JL 4th Gen 4,RSP11198
base_tree,0.433,Up Sunset,RSP11256
