Type,Distance,Strain,RSP
all_samples,0.029,DB,RSP13083
all_samples,0.053,DB,RSP12930
all_samples,0.058,DB Dried,RSP13119
all_samples,0.08,DB,RSP12936
all_samples,0.164,Black Triangle,RSP11638
all_samples,0.170501,501st OG,RSP11241
all_samples,0.174,RKM-2018-021,RSP11113
all_samples,0.174,RKM-2018-032,RSP11124
all_samples,0.176,RKM-2018-017,RSP11109
all_samples,0.178,GG#4,RSP11461
all_samples,0.181,SHERBERT,RSP11355
all_samples,0.184,GG4,RSP12096
all_samples,0.188,Lemon OG Haze,RSP11977
all_samples,0.19,RKM-2018-008,RSP11099
all_samples,0.191,The Gift,RSP10988
all_samples,0.192,PK St-Fl,RSP13155
all_samples,0.194,PK Buds,RSP13153
all_samples,0.195,PK,RSP12932
all_samples,0.198,Mother's Milk No. 31,RSP11623
all_samples,0.198,RKM-2018-012,RSP11103
base_tree,0.463,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.45,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.448,Cherry Blossom,RSP11317
base_tree,0.447,Jamaican Lion,RSP12916
base_tree,0.445,Jamaican Lion,RSP12913
base_tree,0.444,Cherry Blossom,RSP11311
base_tree,0.44,Unknown-(Cherry Wine)-(004),RSP11271
base_tree,0.437,Jamaican Lion,RSP12917
base_tree,0.4338,80E,RSP11213
base_tree,0.43,Cherry Blossom,RSP11328
base_tree,0.43,Tanao Sri (46),RSP11486
base_tree,0.427,Cherry Blossom,RSP11298
base_tree,0.427,Cherry Blossom,RSP11323
base_tree,0.427,Unknown-(Cherry Wine)-(002),RSP11269
base_tree,0.427,Tiger Tail (30),RSP11484
base_tree,0.425,Jamaican Lion,RSP12915
base_tree,0.425,Northern Lights,RSP11501
base_tree,0.422,JL yellow,RSP11075
base_tree,0.422,Cherry Blossom,RSP11318
base_tree,0.42,JL 3rd Gen Father,RSP11196
