Type,Distance,Strain,RSP
all_samples,0.166,Opalo,RSP13489
all_samples,0.201,Violletta Swag,RSP13487
all_samples,0.2118,80E,RSP11211
all_samples,0.2278,80E,RSP11212
all_samples,0.2338,80E,RSP11213
all_samples,0.247,"Swag Trinidat, by Kaly",RSP12876
all_samples,0.285,Tiger Tail (78),RSP11619
all_samples,0.286,Jiangji,RSP10653
all_samples,0.287,Domnesia,RSP11184
all_samples,0.288,Tak-HN,RSP11618
all_samples,0.289,Lift,RSP11378
all_samples,0.292,Recon,RSP10755
all_samples,0.296,Squirrel Tail (31),RSP11485
all_samples,0.296,Acid Beauty,RSP13483
all_samples,0.297,Liberty Haze,RSP11000
all_samples,0.297,Sunday Driver,RSP11071
all_samples,0.299,Jerrys Blue Cheese,RSP12729
all_samples,0.299,KYRG-151,RSP11052
base_tree,0.49,Cherry Blossom,RSP11323
base_tree,0.485,Cherry Blossom,RSP11318
base_tree,0.453,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.446,Jamaican Lion,RSP12916
base_tree,0.437,QLE1,RSP11451
base_tree,0.437,Lemon Badger G Auto,RSP13215
base_tree,0.436,Big Red,RSP13217
base_tree,0.436,Chematonic (Cannatonic x Chemdawg),RSP11394
base_tree,0.435,New York City Deisel,RSP11225
base_tree,0.434,GG4,RSP11978
base_tree,0.432,DB,RSP12936
base_tree,0.429,Cherry Blossom,RSP11274
base_tree,0.429,Jamaican Lion,RSP12917
base_tree,0.427,Chem 91,RSP11185
base_tree,0.425,Motor Breath #15,RSP12093
base_tree,0.424,JL_x_NSPM1_4,RSP11482
base_tree,0.423,Escape Velocity,RSP11165
base_tree,0.423,UP Green Flash,RSP11259
base_tree,0.421,BCH Rt-Fl,RSP13141
base_tree,0.421,Avidekel_05MAY2017,RSP10938
