Type,Distance,Strain,RSP
all_samples,0.16,RKM-2018-034,RSP11126
all_samples,0.161,Rainbow Belts 2.0,RSP12802
all_samples,0.168,Fresca Melon x Styrofoam Cup #6,RSP13398
all_samples,0.174,Fresca Melon x Pearadise #15,RSP13399
all_samples,0.179,Styrofoam Cup X Cookie Dough #2,RSP13104
all_samples,0.186,Pearadise x Fuzzy Melon #7,RSP13103
all_samples,0.187,SHERBERT,RSP11355
all_samples,0.189,Pearadise x Cookie Dough #13,RSP13105
all_samples,0.19,Casco Kush,RSP11167
all_samples,0.194,Pure Power Plant,RSP11265
all_samples,0.199,Domnesia,RSP11184
all_samples,0.199,Gorilla Cookies,RSP11231
all_samples,0.203,Deadhead OG,RSP11463
all_samples,0.203,East Coast Sour Diesel,RSP12922
all_samples,0.204,NSPM_x_NSPM,RSP11487
all_samples,0.206,Styrofoam Cup X Sh3rb3t #2,RSP13102
all_samples,0.206,MENDO BREATH,RSP11242
all_samples,0.206,Pearadise x Cookie Dough #11,RSP13106
all_samples,0.207,Runtz (RO3),RSP13306
all_samples,0.207,HM Buds,RSP13128
base_tree,0.482,Big Red,RSP13217
base_tree,0.471,Cherry Blossom,RSP11328
base_tree,0.46,Jamaican Lion,RSP12916
base_tree,0.458,Cherry Blossom,RSP11323
base_tree,0.453,Tanao Sri (46),RSP11486
base_tree,0.446,Cherry Blossom,RSP11309
base_tree,0.436,JL yellow,RSP11075
base_tree,0.435,Jamaican Lion,RSP12917
base_tree,0.431,JL 3rd Gen Mother,RSP11214
base_tree,0.428,Cherry Blossom,RSP11301
base_tree,0.426,Jamaican Lion,RSP12915
base_tree,0.425,Cherry Blossom,RSP11318
base_tree,0.421,CBD2 V.2,RSP12669
base_tree,0.415,AVIDEKEL 2.0,RSP11174
base_tree,0.411,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.41,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.407,Cherry Blossom,RSP11298
base_tree,0.407,Cherry Blossom,RSP11325
base_tree,0.406,Jamaican Lion,RSP12913
base_tree,0.405,JL 4th Gen 5,RSP11199
