Type,Distance,Strain,RSP
all_samples,0.015,PD St-M,RSP13149
all_samples,0.023,JFG,RSP13085
all_samples,0.052,JFG,RSP12927
all_samples,0.071,Dried Leaves,RSP13120
all_samples,0.072,Powdered Donuts,RSP12939
all_samples,0.086,JFG,RSP12933
all_samples,0.152,Old Family Purple,RSP12098
all_samples,0.173,BF,RSP12931
all_samples,0.174,SFVxTK,RSP11072
all_samples,0.177,Skywalker OG,RSP10837
all_samples,0.184501,501st OG,RSP11241
all_samples,0.187,PG Buds,RSP13151
all_samples,0.187,BF,RSP13086
all_samples,0.192,Jilly bean,RSP11230
all_samples,0.195,RKM-2018-012,RSP11103
all_samples,0.195,PG Rt-Fl,RSP13152
all_samples,0.196,East side OG,RSP12089
all_samples,0.196,unknown,RSP11432
all_samples,0.198,Absolute_OG,RSP11455
all_samples,0.198,Champelli Red #4,RSP12804
base_tree,0.445,Cherry Blossom,RSP11317
base_tree,0.431,Cherry Blossom,RSP11323
base_tree,0.431,Northern Skunk,RSP11456
base_tree,0.4278,80E,RSP11213
base_tree,0.421,Cherry Blossom,RSP11328
base_tree,0.42,Cherry Blossom,RSP11318
base_tree,0.419,Cherry Fog XL,RSP11458
base_tree,0.419,Cherry Blossom,RSP11298
base_tree,0.416,Cherry Blossom,RSP11311
base_tree,0.408,Cherry Blossom,RSP11330
base_tree,0.406,Cherry Blossom,RSP11312
base_tree,0.405,Cherry Blossom,RSP11306
base_tree,0.404,Cherry Blossom,RSP11324
base_tree,0.399,Cherry Blossom,RSP11308
base_tree,0.399,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.399,Cherry Blossom,RSP11333
base_tree,0.398,Cherry Blossom,RSP11309
base_tree,0.397,Jamaican Lion,RSP12916
base_tree,0.397,Cherry Blossom,RSP11335
base_tree,0.396,Chematonic (Cannatonic x Chemdawg),RSP11394
