Type,Distance,Strain,RSP
all_samples,0.049,EG2 Stems,RSP13095
all_samples,0.049,EG2 Roots,RSP13096
all_samples,0.058,EG2 Leaves,RSP13094
all_samples,0.058,El Gordo,RSP12938
all_samples,0.188,Chem 91,RSP11185
all_samples,0.205,Mother's Milk No. 31,RSP11623
all_samples,0.236,Styrofoam Cup x Pearadise #6,RSP12986
all_samples,0.238,Motor Breath #15,RSP12093
all_samples,0.239,Pearadise x Orange Juice #4,RSP12975
all_samples,0.241,GG#4,RSP11461
all_samples,0.242,Styrofoam Cup x Cuban Linx #1,RSP12984
all_samples,0.243,East Coast Sour Diesel,RSP10243
all_samples,0.244,GMO,RSP12091
all_samples,0.246,GMO x [REDACTED] #43,RSP11976
all_samples,0.247,RKM-2018-009,RSP11100
all_samples,0.248,RKM-2018-002,RSP11093
all_samples,0.248,Styrofoam Cup x Cuban Linx #4,RSP12970
all_samples,0.249,Sour D,RSP11343
all_samples,0.25,Star Dawg,RSP11352
all_samples,0.251,Mandarin Meatball #4,RSP12869
base_tree,0.525,Cherry Blossom,RSP11311
base_tree,0.51,Northern Skunk,RSP11456
base_tree,0.503,Cherry Blossom,RSP11314
base_tree,0.5,Cherry Blossom,RSP11335
base_tree,0.495,Cherry Blossom,RSP11308
base_tree,0.491,Cherry Blossom,RSP11317
base_tree,0.489,Cherry Blossom,RSP11324
base_tree,0.484,Cherry Blossom,RSP11334
base_tree,0.48,Unknown-(Cherry Wine)-(004),RSP11271
base_tree,0.479,Cherry Blossom,RSP11333
base_tree,0.476,Cbot-2019-005,RSP11133
base_tree,0.473,Jamaican Lion,RSP12913
base_tree,0.472,Tiger Tail (30),RSP11484
base_tree,0.469,Feral,RSP10891
base_tree,0.468,CS,RSP11208
base_tree,0.464,Feral,RSP11206
