Type,Distance,Strain,RSP
all_samples,0.242,Cherry,RSP11142
all_samples,0.251,Cherry Blossom,RSP11314
all_samples,0.256,Cherry Blossom,RSP11313
all_samples,0.263,Badger,RSP11614
all_samples,0.27113,13 Cherries,RSP11442
all_samples,0.273,Cherry Blossom,RSP11333
all_samples,0.274,Domnesia,RSP11184
all_samples,0.278,Cherry Wine,RSP11267
all_samples,0.284,JL Cross 6,RSP11507
all_samples,0.285,Badger G,RSP13082
all_samples,0.288,Miss X,RSP10999
all_samples,0.29,Trump x Trump,RSP11466
all_samples,0.291,Cherry Blossom,RSP11320
all_samples,0.292,Electra,RSP11366
all_samples,0.295,Queen Dream CBG,RSP11280
all_samples,0.296,Cherry Blossom,RSP11302
all_samples,0.296,Stormy,RSP11454
all_samples,0.299,Cherry Blossom,RSP11311
all_samples,0.3,CANNATONIC,RSP11349
all_samples,0.301,Suver Haze,RSP11364
base_tree,0.498,Jamaican Lion,RSP12916
base_tree,0.485,Jamaican Lion,RSP12917
base_tree,0.476,JL yellow,RSP11075
base_tree,0.475,JL 3rd Gen Mother,RSP11214
base_tree,0.473,Jamaican Lion,RSP12915
base_tree,0.463,JL 3rd Gen Mother,RSP11197
base_tree,0.46,Cherry Blossom,RSP11323
base_tree,0.455,Cherry Blossom,RSP11298
base_tree,0.45,Big Red,RSP13217
base_tree,0.448,El Gordo Dried,RSP13122
base_tree,0.443,Old Town,RSP13257
base_tree,0.44,El Gordo,RSP12938
base_tree,0.439,EGd St-M,RSP13147
base_tree,0.437,Chem 91,RSP11185
base_tree,0.437,JL 4th Gen 6,RSP11200
base_tree,0.436,EGd Rt-M,RSP13146
base_tree,0.436,EG2 Leaves,RSP13094
base_tree,0.435,JL 4th Gen 1,RSP11193
base_tree,0.435,EGd Rt-Fl,RSP13144
base_tree,0.435,Tanao Sri (46),RSP11486
