Type,Distance,Strain,RSP
all_samples,0.058,BCP Buds,RSP13137
all_samples,0.061,BCP St-Fl,RSP13140
all_samples,0.068,BCP Rt-Fl,RSP13138
all_samples,0.106,BCP Dring,RSP13118
all_samples,0.206,Blch Buds,RSP13134
all_samples,0.208,Blch Rt-Fl,RSP13135
all_samples,0.208,Blch St-Fl,RSP13136
all_samples,0.211,D1,RSP12875
all_samples,0.241,T20G,RSP13091
all_samples,0.242,T20I,RSP13093
all_samples,0.243,T20H,RSP13092
all_samples,0.244,PG Buds,RSP13151
all_samples,0.246,PG Rt-Fl,RSP13152
all_samples,0.25,Glueberry OG,RSP11222
all_samples,0.255,PG,RSP12934
all_samples,0.258,PG,RSP12928
all_samples,0.259,Grape Jelly's,RSP12640
all_samples,0.261,Permanent Marker,RSP12907
all_samples,0.261,RKM-2018-001,RSP11092
all_samples,0.261,PG,RSP13088
base_tree,0.473,Cherry Blossom,RSP11317
base_tree,0.455,Cherry Blossom,RSP11311
base_tree,0.454,Cherry Blossom,RSP11314
base_tree,0.451,Cherry Blossom,RSP11328
base_tree,0.447,Cherry Blossom,RSP11323
base_tree,0.44,Cherry Blossom,RSP11306
base_tree,0.438,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.436,Cherry Blossom,RSP11309
base_tree,0.436,Cherry Blossom,RSP11324
base_tree,0.435,Cherry Blossom,RSP11330
base_tree,0.434,Cherry Blossom,RSP11298
base_tree,0.433,Cherry Blossom,RSP11333
base_tree,0.432,Cherry Blossom,RSP11312
base_tree,0.431,Cherry Blossom,RSP11335
base_tree,0.43,Cherry Blossom,RSP11325
base_tree,0.429,Cherry Blossom,RSP11308
base_tree,0.426,Tiger Tail (30),RSP11484
base_tree,0.422,Cherry Blossom,RSP11334
base_tree,0.421,Northern Lights,RSP11501
base_tree,0.42,Cherry Blossom,RSP11318
