Type,Distance,Strain,RSP
all_samples,0.188,Black Triangle,RSP11638
all_samples,0.203,Bueller F3,RSP12503
all_samples,0.205,Fatso,RSP11741
all_samples,0.21,PK Drying,RSP13124
all_samples,0.21,Purple Urkle,RSP12890
all_samples,0.211,PK,RSP12932
all_samples,0.214,Skywalker OG,RSP10837
all_samples,0.215,PK,RSP13087
all_samples,0.215,East Coast Sour Diesel,RSP12922
all_samples,0.215,Rugburn OG,RSP11353
all_samples,0.216,Absolute_OG,RSP11455
all_samples,0.217,RKM-2018-012,RSP11103
all_samples,0.218,PK,RSP12926
all_samples,0.218,DB Dried,RSP13119
all_samples,0.218,SFVxTK,RSP11072
all_samples,0.219,Deadhead OG,RSP11463
all_samples,0.22,RKM-2018-013,RSP11104
all_samples,0.22,Rootbeer Rolex #50,RSP12645
all_samples,0.223,DB,RSP13083
all_samples,0.224,DB,RSP12930
base_tree,0.507,Jamaican Lion,RSP12916
base_tree,0.495,Cherry Blossom,RSP11306
base_tree,0.493,JL yellow,RSP11075
base_tree,0.492,Jamaican Lion,RSP12917
base_tree,0.488,Brunswick High,RSP11164
base_tree,0.483,Jamaican Lion,RSP12915
base_tree,0.481,Tanao Sri (46),RSP11486
base_tree,0.471,JL_X_NSPM1_12,RSP11472
base_tree,0.47,JL 3rd Gen Mother,RSP11214
base_tree,0.469,Cherry Blossom,RSP11298
base_tree,0.467,Cherry Blossom,RSP11309
base_tree,0.466,Cherry Blossom,RSP11326
base_tree,0.465,Cherry Blossom,RSP11325
base_tree,0.465,Cherry Blossom,RSP11322
base_tree,0.462,JL 4th Gen 5,RSP11199
base_tree,0.46,JL 4th Gen 4,RSP11198
base_tree,0.46,Cherry Blossom,RSP11329
base_tree,0.457,JL 4th Gen 6,RSP11200
base_tree,0.456,Unknown-(Cherry Wine)-(003),RSP11270
