Type,Distance,Strain,RSP
all_samples,0.165,Zac x JL,RSP13126
all_samples,0.167,JL_X_NSPM1_7,RSP11469
all_samples,0.169,JL Cross 17,RSP11518
all_samples,0.175,JL Cross 19,RSP11520
all_samples,0.175,JL_X_NSPM1_11,RSP11471
all_samples,0.177,JL_Tent_2,RSP11489
all_samples,0.18,JL_Tent_3,RSP11490
all_samples,0.183,JL Cross 26,RSP11527
all_samples,0.183,JL_X_NSPM1_14,RSP11473
all_samples,0.184,JL Cross 9,RSP11510
all_samples,0.185,JL Cross 28,RSP11529
all_samples,0.185,JL_x_NSPM1_3,RSP11481
all_samples,0.187,JL_Tent_4,RSP11491
all_samples,0.195,JL 4th Gen 7,RSP11153
all_samples,0.195,JL_X_NSPM1_6,RSP11468
all_samples,0.198,JL Cross 24,RSP11525
all_samples,0.199,JL Cross 23,RSP11524
all_samples,0.203,JL Cross 21,RSP11522
all_samples,0.204,JL_X_NSPM1_33,RSP11477
all_samples,0.206,JL Cross 18,RSP11519
base_tree,0.49,BCH Rt-Fl,RSP13141
base_tree,0.445,Cherry Blossom,RSP11318
base_tree,0.441,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.439,Cherry Blossom,RSP11311
base_tree,0.438,BagSeed,RSP12627
base_tree,0.4348,80E,RSP11213
base_tree,0.434,Unknown-(Cherry Wine)-(002),RSP11269
base_tree,0.43,Cherry Blossom,RSP11335
base_tree,0.429,Cherry Blossom,RSP11333
base_tree,0.427,Cherry Blossom,RSP11308
base_tree,0.427,Cherry Blossom,RSP11274
base_tree,0.424,Cherry Blossom,RSP11300
base_tree,0.42,Cherry Blossom,RSP11323
base_tree,0.419,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.4198,80E,RSP11212
base_tree,0.4188,80E,RSP11211
base_tree,0.418,Cherry Blossom,RSP11314
base_tree,0.417,Cherry Blossom,RSP11334
base_tree,0.416,Northern Skunk,RSP11456
base_tree,0.412,Cherry Blossom,RSP11328
