Type,Distance,Strain,RSP
all_samples,0.024,Runtz (RO3),RSP13306
all_samples,0.041,Purple Urkle,RSP12890
all_samples,0.043,Pink Runtz (VO1),RSP13307
all_samples,0.146,Absolute_OG,RSP11455
all_samples,0.147,Red Eye OG,RSP11190
all_samples,0.153,T20I,RSP13093
all_samples,0.154,T20G,RSP13091
all_samples,0.155,T20H,RSP13092
all_samples,0.162,SFVxTK,RSP11072
all_samples,0.165,CDSD,RSP13084
all_samples,0.165,East side OG,RSP12089
all_samples,0.166,Deadhead OG,RSP11463
all_samples,0.17,Skywalker OG,RSP10837
all_samples,0.175,Bueller F3,RSP12503
all_samples,0.178,UK Cheese,RSP12896
all_samples,0.179,Casco Kush,RSP11167
all_samples,0.18,Rootbeer Rolex #50,RSP12645
all_samples,0.181,Gorilla Cookies,RSP11231
all_samples,0.182,Super Runtz,RSP12810
all_samples,0.186,RKM-2018-034,RSP11126
base_tree,0.616,Jamaican Lion,RSP12916
base_tree,0.605,JL yellow,RSP11075
base_tree,0.588,Jamaican Lion,RSP12917
base_tree,0.57,JL 3rd Gen Mother,RSP11214
base_tree,0.56,Jamaican Lion,RSP12915
base_tree,0.536,JL 3rd Gen Mother,RSP11197
base_tree,0.513,JL 4th Gen 1,RSP11193
base_tree,0.508,JL 4th Gen 5,RSP11199
base_tree,0.501,JL 4th Gen 6,RSP11200
base_tree,0.487,Tanao Sri (46),RSP11486
base_tree,0.487,JL x MC7,RSP13213
base_tree,0.479,Big Red,RSP13217
base_tree,0.478,JL 4th Gen 2,RSP11194
base_tree,0.476,JL 4th Gen 4,RSP11198
base_tree,0.473,JL_x_MandarinCookies_XX_THC_10,RSP13168
base_tree,0.466,JL x MC5,RSP13212
base_tree,0.463,JL_X_NSPM1_12,RSP11472
base_tree,0.459,JL 4th Gen 3,RSP11195
base_tree,0.456,JL_x_MandarinCookies_XX_THC_5,RSP13167
base_tree,0.444,Cherry Blossom,RSP11318
