Type,Distance,Strain,RSP
all_samples,0.078,JFG,RSP13085
all_samples,0.085,JFG,RSP12927
all_samples,0.095,Powdered Donuts,RSP12939
all_samples,0.116,JFG,RSP12933
all_samples,0.203,Old Family Purple,RSP12098
all_samples,0.206,Skywalker OG,RSP10837
all_samples,0.208,BF,RSP12931
all_samples,0.216,SFVxTK,RSP11072
all_samples,0.217,BF,RSP13086
all_samples,0.219,Champelli Red #4,RSP12804
all_samples,0.226501,501st OG,RSP11241
all_samples,0.228,Jilly bean,RSP11230
all_samples,0.229,PG,RSP12928
all_samples,0.23,East side OG,RSP12089
all_samples,0.23,PG,RSP12934
all_samples,0.231,PG,RSP13088
all_samples,0.232,BF,RSP12937
all_samples,0.233,Durban Poison #1,RSP11013
all_samples,0.233,Absolute_OG,RSP11455
all_samples,0.234,RKM-2018-012,RSP11103
base_tree,0.474,Cherry Blossom,RSP11317
base_tree,0.465,Northern Skunk,RSP11456
base_tree,0.442,Cherry Fog XL,RSP11458
base_tree,0.4358,80E,RSP11213
base_tree,0.433,Cherry Blossom,RSP11298
base_tree,0.432,Cherry Blossom,RSP11323
base_tree,0.431,Cherry Blossom,RSP11311
base_tree,0.429,Cherry Blossom,RSP11330
base_tree,0.429,Cherry Blossom,RSP11328
base_tree,0.429,Cherry Blossom,RSP11314
base_tree,0.423,Cherry Blossom,RSP11306
base_tree,0.419,Cherry Blossom,RSP11334
base_tree,0.418,Cherry Blossom,RSP11324
base_tree,0.417,Cherry Blossom,RSP11318
base_tree,0.415,Cherry Blossom,RSP11309
base_tree,0.415,Cherry Blossom,RSP11312
base_tree,0.414,Jamaican Lion,RSP12916
base_tree,0.414,CS Indica,RSP11658
