Type,Distance,Strain,RSP
all_samples,0.015,PG,RSP13088
all_samples,0.021,PG Rt-Fl,RSP13152
all_samples,0.029,PG,RSP12934
all_samples,0.05,PG,RSP12928
all_samples,0.187,PD Lf-M,RSP13150
all_samples,0.189,PD St-M,RSP13149
all_samples,0.197,T20G,RSP13091
all_samples,0.199,T20H,RSP13092
all_samples,0.199,T20I,RSP13093
all_samples,0.206,JFG,RSP12927
all_samples,0.208,JFG,RSP13085
all_samples,0.209,JL Cross 1,RSP11502
all_samples,0.213,Blch Buds,RSP13134
all_samples,0.214,Blch St-Fl,RSP13136
all_samples,0.214,Powdered Donuts,RSP12939
all_samples,0.217,BF,RSP12931
all_samples,0.218,Blch Rt-Fl,RSP13135
all_samples,0.219,Horncreek Lazie OG,RSP13158
all_samples,0.221,Hermaphrodite_Research_Sample1,RSP11042
all_samples,0.222,Blue Dream,RSP11010
base_tree,0.464,Cherry Blossom,RSP11317
base_tree,0.462,Cherry Blossom,RSP11311
base_tree,0.459,Cherry Blossom,RSP11328
base_tree,0.445,Cherry Blossom,RSP11334
base_tree,0.442,Cherry Blossom,RSP11298
base_tree,0.437,Cherry Blossom,RSP11308
base_tree,0.436,Cherry Blossom,RSP11335
base_tree,0.431,Cherry Blossom,RSP11314
base_tree,0.43,Cherry Blossom,RSP11330
base_tree,0.429,Cherry Blossom,RSP11312
base_tree,0.428,CS Indica,RSP11658
base_tree,0.427,Candy Kush,RSP11492
base_tree,0.423,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.416,CS,RSP11208
base_tree,0.415,Cherry Blossom,RSP11309
base_tree,0.414,Cherry Blossom,RSP11323
base_tree,0.409,Cherry Blossom,RSP11324
base_tree,0.408,Cherry Blossom,RSP11333
base_tree,0.408,Unknown-(Cherry Wine)-(004),RSP11271
