Type,Distance,Strain,RSP
all_samples,0.196,RKM-2018-008,RSP11099
all_samples,0.207,Skywalker OG,RSP10837
all_samples,0.208,RKM-2018-034,RSP11126
all_samples,0.21,SFVxTK,RSP11072
all_samples,0.216,Red Eye OG,RSP11190
all_samples,0.218,Cherry Gar-See-Ya,RSP11642
all_samples,0.218,Absolute_OG,RSP11455
all_samples,0.221,The Gift,RSP10988
all_samples,0.222,East side OG,RSP12089
all_samples,0.223,Rugburn OG,RSP11353
all_samples,0.224,El Presidente,RSP12807
all_samples,0.225,GMO x Poison Momosa,RSP12500
all_samples,0.227,Pure Power Plant,RSP11265
all_samples,0.227,DB St-Fl,RSP13142
all_samples,0.23,New BSR,RSP12104
all_samples,0.23,GMO x The inhaler,RSP12508
all_samples,0.23,Watermelon Rush,RSP12908
all_samples,0.23,RKM-2018-013,RSP11104
all_samples,0.231,Hermaphrodite_ResearchSample2,RSP11050
all_samples,0.231,GMO x Poison Momosa,RSP12626
base_tree,0.486,Cherry Blossom,RSP11318
base_tree,0.472,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.452,Cherry Blossom,RSP11323
base_tree,0.448,Cherry Blossom,RSP11301
base_tree,0.444,Jamaican Lion,RSP12916
base_tree,0.443,Cherry Blossom,RSP11328
base_tree,0.439,Cherry Blossom,RSP11325
base_tree,0.433,Cherry Blossom,RSP11306
base_tree,0.432,Unknown-(Cherry Wine)-(002),RSP11269
base_tree,0.429,Jamaican Lion,RSP12917
base_tree,0.428,Cherry Blossom,RSP11300
base_tree,0.428,Cherry Blossom,RSP11274
base_tree,0.425,Jamaican Lion,RSP12915
base_tree,0.422,Tanao Sri (46),RSP11486
base_tree,0.421,JL_x_NSPM1_4,RSP11482
base_tree,0.42,CBD2 V.2,RSP12669
base_tree,0.417,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.416,Pennywise,RSP12904
base_tree,0.416,JL yellow,RSP11075
base_tree,0.414,Cherry Blossom,RSP11309
