Type,Distance,Strain,RSP
all_samples,0.04,PK,RSP13087
all_samples,0.042,PK,RSP12932
all_samples,0.056,PK,RSP12926
all_samples,0.08,PK Dried,RSP13123
all_samples,0.138,RKM-2018-008,RSP11099
all_samples,0.14,The Gift,RSP10988
all_samples,0.147,Rugburn OG,RSP11353
all_samples,0.151,RKM-2018-013,RSP11104
all_samples,0.156,SFVxTK,RSP11072
all_samples,0.157,Absolute_OG,RSP11455
all_samples,0.157,Skywalker OG,RSP10837
all_samples,0.16,RKM-2018-012,RSP11103
all_samples,0.164,Elc.Grp. Drying,RSP13121
all_samples,0.171,East side OG,RSP12089
all_samples,0.174,Red Eye OG,RSP11190
all_samples,0.181,Deadhead OG,RSP11463
all_samples,0.183,Pure Power Plant,RSP11265
all_samples,0.191501,501st OG,RSP11241
all_samples,0.193,Triangle Kush x Square Wave BX,RSP12100
all_samples,0.194,Motor Breath #15,RSP12093
base_tree,0.493,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.486,Jamaican Lion,RSP12916
base_tree,0.477,Brunswick High,RSP11164
base_tree,0.476,Jamaican Lion,RSP12917
base_tree,0.476,Cherry Blossom,RSP11301
base_tree,0.47,Cherry Blossom,RSP11318
base_tree,0.469,Cherry Blossom,RSP11323
base_tree,0.465,JL yellow,RSP11075
base_tree,0.463,Jamaican Lion,RSP12915
base_tree,0.461,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.459,Tanao Sri (46),RSP11486
base_tree,0.456,Jamaican Lion,RSP12913
base_tree,0.456,Unknown-(Cherry Wine)-(002),RSP11269
base_tree,0.454,JL 3rd Gen Mother,RSP11214
base_tree,0.453,Cherry Blossom,RSP11298
base_tree,0.453,Cherry Blossom,RSP11328
base_tree,0.448,JL 4th Gen 4,RSP11198
base_tree,0.447,JL 4th Gen 5,RSP11199
base_tree,0.446,Cherry Blossom,RSP11300
base_tree,0.445,Cherry Blossom,RSP11309
