Type,Distance,Strain,RSP
all_samples,0.219,Badger G,RSP13082
all_samples,0.265,Lemon Badger G Auto,RSP13215
all_samples,0.289,Miss X,RSP10999
all_samples,0.296,Trump x Trump,RSP11466
all_samples,0.302,Rest,RSP11377
all_samples,0.305,Electra,RSP11366
all_samples,0.306,Domnesia,RSP11184
all_samples,0.308,Queen Dream CBG,RSP11294
all_samples,0.311,C-930 lot 211005,RSP12603
all_samples,0.311,SK6210,RSP12735
all_samples,0.312,CBG Berry,RSP11446
all_samples,0.313,Recon,RSP10755
all_samples,0.316,Badger,RSP11614
all_samples,0.317,Ringo's Angel,RSP10085
all_samples,0.317,KYRG-151,RSP11052
all_samples,0.317,Serious Happiness,RSP10763
all_samples,0.318,UP Sunrise,RSP10989
all_samples,0.319,TI,RSP11149
all_samples,0.32,Lift,RSP11378
all_samples,0.32,Tisza,RSP10659
base_tree,0.478,Cherry Blossom,RSP11306
base_tree,0.469,Cherry Blossom,RSP11329
base_tree,0.461,Cherry Blossom,RSP11325
base_tree,0.449,BCH Rt-Fl,RSP13141
base_tree,0.448,Jamaican Lion,RSP12916
base_tree,0.445,Cherry Blossom,RSP11323
base_tree,0.444,Jamaican Lion,RSP12917
base_tree,0.439,JL 3rd Gen Mother,RSP11214
base_tree,0.438,Cherry Blossom CBG,RSP11303
base_tree,0.438,Cherry Blossom,RSP11315
base_tree,0.437,Cherry Blossom,RSP11322
base_tree,0.436,JL yellow,RSP11075
base_tree,0.436,Cherry Blossom,RSP11318
base_tree,0.434,Jamaican Lion,RSP12915
base_tree,0.432,JL 4th Gen 2,RSP11194
base_tree,0.431,Dave Pineapple,RSP11626
base_tree,0.427,JL 4th Gen 5,RSP11199
base_tree,0.426,Brunswick High,RSP11164
base_tree,0.425,Cherry Blossom,RSP11324
base_tree,0.425,El Gordo Dried,RSP13122
