Type,Distance,Strain,RSP
all_samples,0.135,Pure Power Plant,RSP11265
all_samples,0.141,PK St-Fl,RSP13155
all_samples,0.142,PK Buds,RSP13153
all_samples,0.143,PK Rt-Fl,RSP13154
all_samples,0.146,PK,RSP13087
all_samples,0.147,PK,RSP12932
all_samples,0.16,PK,RSP12926
all_samples,0.163,RKM-2018-021,RSP11113
all_samples,0.163,PK Drying,RSP13124
all_samples,0.163,RKM-2018-017,RSP11109
all_samples,0.163,RKM-2018-032,RSP11124
all_samples,0.164,Rugburn OG,RSP11353
all_samples,0.173,Gorilla Cookies,RSP11231
all_samples,0.175501,501st OG,RSP11241
all_samples,0.18,RKM-2018-012,RSP11103
all_samples,0.181,GG4,RSP12096
all_samples,0.182,RKM-2018-013,RSP11104
all_samples,0.183,Deadhead OG,RSP11463
all_samples,0.186,Bueller F3,RSP12503
all_samples,0.188,East Coast Sour Diesel,RSP12922
base_tree,0.476,Jamaican Lion,RSP12916
base_tree,0.471,Cherry Blossom,RSP11301
base_tree,0.471,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.465,Tanao Sri (46),RSP11486
base_tree,0.462,Jamaican Lion,RSP12917
base_tree,0.456,Jamaican Lion,RSP12915
base_tree,0.455,JL 4th Gen 5,RSP11199
base_tree,0.449,Cherry Blossom,RSP11328
base_tree,0.447,Cherry Blossom,RSP11318
base_tree,0.445,Cherry Blossom,RSP11300
base_tree,0.444,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.444,Jamaican Lion,RSP12913
base_tree,0.443,JL yellow,RSP11075
base_tree,0.44,JL 3rd Gen Father,RSP11196
base_tree,0.438,JL 3rd Gen Mother,RSP11214
base_tree,0.437,Cherry Blossom,RSP11323
base_tree,0.437,JL 4th Gen 4,RSP11198
base_tree,0.435,Cherry Blossom,RSP11309
base_tree,0.434,Brunswick High,RSP11164
base_tree,0.431,JL 4th Gen 2,RSP11194
