Type,Distance,Strain,RSP
all_samples,0.194,Styrofoam Cup,RSP13099
all_samples,0.195,Styrofoam Cup X Sh3rb3t #2,RSP13102
all_samples,0.198,Domnesia,RSP11184
all_samples,0.199,Crème de la Crème x Styrofoam Cup #12,RSP13395
all_samples,0.204,JL Cross 26,RSP11527
all_samples,0.204,JL_X_NSPM1_7,RSP11469
all_samples,0.206,Crème de la Crème x Styrofoam Cup #2,RSP13394
all_samples,0.21,JL Cross 27,RSP11528
all_samples,0.212,JL Cross 24,RSP11525
all_samples,0.216,SHERBERT,RSP11355
all_samples,0.216,NSPM1,RSP11362
all_samples,0.218,Garlic,RSP11341
all_samples,0.218,Pearadise x Pineapple Pez Melonade #6,RSP12978
all_samples,0.218,GMO,RSP12091
all_samples,0.219,Styrofoam Cup x Pineapple Pez Melonade #3,RSP12976
all_samples,0.22,Super Runtz,RSP12810
all_samples,0.22,A29-St-M-Rw,RSP13189
all_samples,0.224,Pie Face Mac,RSP11974
all_samples,0.225,A29-Rt-M-Rw,RSP13188
all_samples,0.228,JL_X_NSPM1_14,RSP11473
base_tree,0.46,Big Red,RSP13217
base_tree,0.447,Tanao Sri (46),RSP11486
base_tree,0.443,Cherry Blossom,RSP11323
base_tree,0.441,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.439,Cherry Blossom,RSP11318
base_tree,0.438,AVIDEKEL 2.0,RSP11174
base_tree,0.433,Cherry Blossom,RSP11301
base_tree,0.426,Cherry Blossom,RSP11328
base_tree,0.424,Jamaican Lion,RSP12916
base_tree,0.416,Cbot-2019-005,RSP11133
base_tree,0.414,Unknown-(Cherry Wine)-(002),RSP11269
base_tree,0.406,Jamaican Lion,RSP12917
base_tree,0.406,Cherry Blossom,RSP11334
base_tree,0.405,BCH Rt-Fl,RSP13141
base_tree,0.404,CBD2 V.2,RSP12669
base_tree,0.403,JL yellow,RSP11075
base_tree,0.401,Cherry Blossom,RSP11300
base_tree,0.4,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.397,Cherry Blossom,RSP11306
base_tree,0.395,Jamaican Lion,RSP12915
