Type,Distance,Strain,RSP
all_samples,0.026,HM Rt-M,RSP13129
all_samples,0.035,HM Rt-Fl,RSP13130
all_samples,0.075,HM,RSP12941
all_samples,0.17,Eucalyptus,RSP12803
all_samples,0.177,PMK 16953,RSP13111
all_samples,0.177,CDSD,RSP13084
all_samples,0.179,PMK 16949,RSP13110
all_samples,0.18,East Coast Sour Diesel,RSP12922
all_samples,0.183,RKM-2018-034,RSP11126
all_samples,0.192,Peach Ringz,RSP12899
all_samples,0.194,Gorilla Cookies,RSP11231
all_samples,0.198,Cherry Lime Runtz,RSP12486
all_samples,0.199,UK Cheese,RSP12896
all_samples,0.201,Rootbeer Rolex #50,RSP12645
all_samples,0.202,GMO x [REDACTED] #43,RSP11976
all_samples,0.202,CDSD,RSP12929
all_samples,0.205,RKM-2018-026,RSP11118
all_samples,0.206,Deadhead OG,RSP11463
all_samples,0.213,Styrofoam Cup x Cuban Linx #1,RSP12984
all_samples,0.213,CDSD,RSP12935
base_tree,0.462,Cherry Blossom,RSP11306
base_tree,0.461,Tanao Sri (46),RSP11486
base_tree,0.453,Cherry Blossom,RSP11328
base_tree,0.447,Cherry Blossom,RSP11330
base_tree,0.447,Cherry Blossom,RSP11325
base_tree,0.442,Cherry Blossom,RSP11309
base_tree,0.438,Jamaican Lion,RSP12916
base_tree,0.437,Cherry Blossom,RSP11323
base_tree,0.435,Chematonic (Cannatonic x Chemdawg),RSP11394
base_tree,0.434,Cherry Blossom,RSP11317
base_tree,0.434,Cherry Blossom,RSP11318
base_tree,0.43,Cherry Blossom,RSP11322
base_tree,0.43,Cherry Blossom,RSP11300
base_tree,0.429,Cherry Blossom,RSP11312
base_tree,0.429,Wife,RSP11148
base_tree,0.427,Cherry Blossom,RSP11298
base_tree,0.427,Avidekel_05MAY2017,RSP10938
base_tree,0.426,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.423,CBD2 V.2,RSP12669
base_tree,0.418,Ringo's Gift (Katie's Cut),RSP11624
