Type,Distance,Strain,RSP
all_samples,0.026,BCP St-Fl,RSP13140
all_samples,0.028,BCP Buds,RSP13137
all_samples,0.068,BCP Lf-Fl,RSP13139
all_samples,0.088,BCP Dring,RSP13118
all_samples,0.185,Blch Buds,RSP13134
all_samples,0.187,Blch St-Fl,RSP13136
all_samples,0.187,Blch Rt-Fl,RSP13135
all_samples,0.19,D1,RSP12875
all_samples,0.224,T20I,RSP13093
all_samples,0.225,T20G,RSP13091
all_samples,0.226,T20H,RSP13092
all_samples,0.238,Grape Jelly's,RSP12640
all_samples,0.242,PG Buds,RSP13151
all_samples,0.246,Glueberry OG,RSP11222
all_samples,0.247,PG Rt-Fl,RSP13152
all_samples,0.249,Domnesia,RSP11184
all_samples,0.249,RKM-2018-001,RSP11092
all_samples,0.249,Trump x Trump,RSP11466
all_samples,0.25,JL Cross 3,RSP11504
all_samples,0.251,SPQ (quite resistant),RSP11370
base_tree,0.457,Cherry Blossom,RSP11317
base_tree,0.439,Cherry Blossom,RSP11311
base_tree,0.438,Cherry Blossom,RSP11314
base_tree,0.438,Cherry Blossom,RSP11323
base_tree,0.432,Cherry Blossom,RSP11328
base_tree,0.431,Cherry Blossom,RSP11306
base_tree,0.424,Jamaican Lion,RSP12916
base_tree,0.422,Cherry Blossom,RSP11325
base_tree,0.42,Cherry Blossom,RSP11309
base_tree,0.418,JL yellow,RSP11075
base_tree,0.418,JL 3rd Gen Mother,RSP11214
base_tree,0.418,Cherry Blossom,RSP11324
base_tree,0.417,Tiger Tail (30),RSP11484
base_tree,0.416,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.416,Cherry Blossom,RSP11335
base_tree,0.414,Cherry Blossom,RSP11333
base_tree,0.414,Jamaican Lion,RSP12917
base_tree,0.413,Cherry Blossom,RSP11308
base_tree,0.413,Cherry Blossom,RSP11330
base_tree,0.413,Cherry Blossom,RSP11298
