Type,Distance,Strain,RSP
all_samples,0.014,Donnie Burger,RSP13220
all_samples,0.015,DB,RSP13083
all_samples,0.022,DB St-Fl,RSP13142
all_samples,0.046,DB,RSP12930
all_samples,0.048,DB Dried,RSP13119
all_samples,0.079,DB,RSP12936
all_samples,0.15,GPie x GodMac cross,RSP13223
all_samples,0.153,Black Triangle,RSP11638
all_samples,0.167501,501st OG,RSP11241
all_samples,0.172,SHERBERT,RSP11355
all_samples,0.173,GG#4,RSP11461
all_samples,0.178,RKM-2018-021,RSP11113
all_samples,0.179,Lemon OG Haze,RSP11977
all_samples,0.179,RKM-2018-032,RSP11124
all_samples,0.179,RKM-2018-017,RSP11109
all_samples,0.18,GG4,RSP12096
all_samples,0.188,Tahoe OG,RSP11189
all_samples,0.191,Pink Kush,RSP13226
all_samples,0.191,JL Cross 10,RSP11511
all_samples,0.192,RKM-2018-008,RSP11099
base_tree,0.466,Jamaican Lion,RSP12916
base_tree,0.456,Jamaican Lion,RSP12913
base_tree,0.454,Jamaican Lion,RSP12917
base_tree,0.451,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.447,Big Red,RSP13217
base_tree,0.447,Cherry Blossom,RSP11317
base_tree,0.446,JL yellow,RSP11075
base_tree,0.446,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.441,Jamaican Lion,RSP12915
base_tree,0.438,Unknown-(Cherry Wine)-(004),RSP11271
base_tree,0.437,Punta Roja,RSP12923
base_tree,0.435,Purple Columbian,RSP12924
base_tree,0.434,JL 3rd Gen Father,RSP11196
base_tree,0.4318,80E,RSP11213
base_tree,0.428,Cherry Blossom,RSP11311
base_tree,0.427,Tiger Tail (30),RSP11484
base_tree,0.426,JL 3rd Gen Mother,RSP11214
base_tree,0.425,Jamaican Lion,RSP12920
base_tree,0.425,Cherry Blossom,RSP11328
