Type,Distance,Strain,RSP
all_samples,0.015,D1,RSP12875
all_samples,0.015,Blch St-Fl,RSP13136
all_samples,0.024,Blch Rt-Fl,RSP13135
all_samples,0.18,BCP St-Fl,RSP13140
all_samples,0.181,BCP Buds,RSP13137
all_samples,0.185,BCP Rt-Fl,RSP13138
all_samples,0.19,Blue Dream,RSP11004
all_samples,0.19,Super Blue Dream,RSP11011
all_samples,0.191,Rest,RSP11377
all_samples,0.192,Electra,RSP11366
all_samples,0.194,Domnesia,RSP11184
all_samples,0.194,Ringo's Angel,RSP10085
all_samples,0.195,Blue Dream,RSP11017
all_samples,0.196,Trump x Trump,RSP11466
all_samples,0.198,Thank You Jerry,RSP11459
all_samples,0.199,Blueberry Cheesecake,RSP10684
all_samples,0.202,Serious Happiness,RSP10763
all_samples,0.202,Blue Dream,RSP11010
all_samples,0.204,CBG-#40,RSP11444
all_samples,0.205,Blue Dream,RSP11007
base_tree,0.439,Jamaican Lion,RSP12916
base_tree,0.431,Cherry Blossom,RSP11328
base_tree,0.427,Cherry Blossom,RSP11323
base_tree,0.425,Cherry Blossom,RSP11311
base_tree,0.417,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.416,Cherry Blossom,RSP11314
base_tree,0.416,Jamaican Lion,RSP12917
base_tree,0.413,JL 3rd Gen Mother,RSP11214
base_tree,0.413,JL yellow,RSP11075
base_tree,0.41,Cherry Blossom,RSP11317
base_tree,0.407,Cherry Blossom,RSP11318
base_tree,0.406,Jamaican Lion,RSP12915
base_tree,0.402,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.399,Northern Lights,RSP11501
base_tree,0.398,Jamaican Lion,RSP12913
base_tree,0.397,Cherry Blossom,RSP11334
base_tree,0.395,Cherry Blossom,RSP11309
base_tree,0.394,Cherry Blossom,RSP11306
base_tree,0.394,JL 3rd Gen Mother,RSP11197
base_tree,0.391,Unknown-(Cherry Wine)-(004),RSP11271
