Type,Distance,Strain,RSP
all_samples,0.119,SFVxTK,RSP11072
all_samples,0.125,Skywalker OG,RSP10837
all_samples,0.126,Red Eye OG,RSP11190
all_samples,0.135,RKM-2018-013,RSP11104
all_samples,0.135,Motor Breath #15,RSP12093
all_samples,0.136,Absolute_OG,RSP11455
all_samples,0.14,East side OG,RSP12089
all_samples,0.144,Deadhead OG,RSP11463
all_samples,0.15,Rugburn OG,RSP11353
all_samples,0.153,SourD,RSP12092
all_samples,0.153,CHEM4,RSP12090
all_samples,0.158,East Coast Sour Diesel,RSP12922
all_samples,0.166,Fatso,RSP11741
all_samples,0.167,Star Dawg,RSP11352
all_samples,0.174,RKM-2018-002,RSP11093
all_samples,0.178,Chemdog D,RSP13490
all_samples,0.182,RKM-2018-026,RSP11118
all_samples,0.185,Pure Power Plant,RSP11265
all_samples,0.186501,501st OG,RSP11241
all_samples,0.186,Super Sour Diesel,RSP11191
base_tree,0.495,Jamaican Lion,RSP12916
base_tree,0.49,Big Red,RSP13217
base_tree,0.481,Jamaican Lion,RSP12917
base_tree,0.473,JL yellow,RSP11075
base_tree,0.473,Northern Skunk,RSP11456
base_tree,0.472,Wife,RSP11148
base_tree,0.47,Cherry Blossom,RSP11325
base_tree,0.469,Jamaican Lion,RSP12915
base_tree,0.462,JL 3rd Gen Mother,RSP11214
base_tree,0.46,Cherry Blossom,RSP11318
base_tree,0.46,Cherry Blossom,RSP11306
base_tree,0.46,Cherry Blossom,RSP11301
base_tree,0.453,Cherry Blossom,RSP11300
base_tree,0.449,Jamaican Lion,RSP12913
base_tree,0.448,AVIDEKEL 2.0,RSP11174
base_tree,0.448,Cherry Blossom,RSP11323
base_tree,0.448,Tanao Sri (46),RSP11486
base_tree,0.444,JL 4th Gen 5,RSP11199
base_tree,0.444,Cherry Blossom,RSP11328
