Type,Distance,Strain,RSP
all_samples,0.024,PK Buds,RSP13153
all_samples,0.026,PK-St-M,RSP13205
all_samples,0.027,PK-Lf-M,RSP13201
all_samples,0.028,PK St-Fl,RSP13155
all_samples,0.03,PK,RSP13087
all_samples,0.031,PK,RSP12932
all_samples,0.038,PK Rt-Fl,RSP13154
all_samples,0.042,PK Drying,RSP13124
all_samples,0.043,PK-Rt-BioG-,RSP13200
all_samples,0.045,PK-Rt-Coco,RSP13202
all_samples,0.048,PK-Rt-M,RSP13203
all_samples,0.051,PK,RSP12926
all_samples,0.08,PK Dried,RSP13123
all_samples,0.127,RKM-2018-008,RSP11099
all_samples,0.131,The Gift,RSP10988
all_samples,0.137,Rugburn OG,RSP11353
all_samples,0.138,RKM-2018-013,RSP11104
all_samples,0.152,DP Dried,RSP13143
all_samples,0.153,Absolute_OG,RSP11455
all_samples,0.153,SFVxTK,RSP11072
base_tree,0.482,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.477,Jamaican Lion,RSP12916
base_tree,0.473,Brunswick High,RSP11164
base_tree,0.469,Cherry Blossom,RSP11301
base_tree,0.469,Tanao Sri (46),RSP11486
base_tree,0.468,Cherry Blossom,RSP11323
base_tree,0.467,Cherry Blossom,RSP11318
base_tree,0.465,Jamaican Lion,RSP12917
base_tree,0.453,Jamaican Lion,RSP12915
base_tree,0.453,Unknown-(Cherry Wine)-(002),RSP11269
base_tree,0.448,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.444,Jamaican Lion,RSP12913
base_tree,0.444,JL yellow,RSP11075
base_tree,0.442,JL 3rd Gen Father,RSP11196
base_tree,0.44,Cherry Blossom,RSP11306
base_tree,0.44,Cherry Blossom,RSP11328
base_tree,0.439,JL Cross 25,RSP11526
base_tree,0.439,Cherry Blossom,RSP11300
base_tree,0.438,JL 4th Gen 5,RSP11199
base_tree,0.437,Cherry Blossom,RSP11298
