Type,Distance,Strain,RSP
all_samples,0.033,PK-Lf-M,RSP13201
all_samples,0.034,PK Buds,RSP13153
all_samples,0.037,PK St-Fl,RSP13155
all_samples,0.038,PK-St-M,RSP13205
all_samples,0.041,PK,RSP13087
all_samples,0.042,PK Rt-Fl,RSP13154
all_samples,0.042,PK,RSP12932
all_samples,0.043,PK-Rt-RW,RSP13204
all_samples,0.05,PK-Rt-Coco,RSP13202
all_samples,0.055,PK Drying,RSP13124
all_samples,0.056,PK,RSP12926
all_samples,0.057,PK-Rt-M,RSP13203
all_samples,0.087,PK Dried,RSP13123
all_samples,0.126,RKM-2018-008,RSP11099
all_samples,0.134,The Gift,RSP10988
all_samples,0.145,RKM-2018-013,RSP11104
all_samples,0.147,Rugburn OG,RSP11353
all_samples,0.154,SFVxTK,RSP11072
all_samples,0.155,Absolute_OG,RSP11455
all_samples,0.156,RKM-2018-012,RSP11103
base_tree,0.492,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.475,Cherry Blossom,RSP11301
base_tree,0.475,Cherry Blossom,RSP11318
base_tree,0.475,Brunswick High,RSP11164
base_tree,0.475,Tanao Sri (46),RSP11486
base_tree,0.474,Cherry Blossom,RSP11323
base_tree,0.474,Jamaican Lion,RSP12916
base_tree,0.464,Jamaican Lion,RSP12917
base_tree,0.457,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.456,Unknown-(Cherry Wine)-(002),RSP11269
base_tree,0.452,Jamaican Lion,RSP12915
base_tree,0.451,JL 3rd Gen Father,RSP11196
base_tree,0.449,Cherry Blossom,RSP11300
base_tree,0.448,JL Cross 25,RSP11526
base_tree,0.447,Jamaican Lion,RSP12913
base_tree,0.446,JL yellow,RSP11075
base_tree,0.444,Northern Skunk,RSP11456
base_tree,0.444,Cherry Blossom,RSP11274
base_tree,0.443,Cherry Blossom,RSP11328
base_tree,0.442,Cherry Blossom,RSP11312
