Type,Distance,Strain,RSP
all_samples,0.151,JL_x_MandarinCookies_XX_THC_5,RSP13167
all_samples,0.156,JL x MC5,RSP13212
all_samples,0.162,JL_x_MandarinCookies_XX_THC_10,RSP13168
all_samples,0.163,JL yellow,RSP11075
all_samples,0.168,Jamaican Lion,RSP12917
all_samples,0.171,JL 3rd Gen Mother,RSP11214
all_samples,0.174,Jamaican Lion,RSP12915
all_samples,0.174,JL 3rd Gen Mother,RSP11197
all_samples,0.178,JL 4th Gen 2,RSP11194
all_samples,0.182,JL 4th Gen 4,RSP11198
all_samples,0.186,JL 4th Gen 1,RSP11193
all_samples,0.188,JL 4th Gen 5,RSP11199
all_samples,0.188,Jamaican Lion,RSP12916
all_samples,0.191,JL 4th Gen 3,RSP11195
all_samples,0.199,Original Jamaican Lions,RSP11127
all_samples,0.225,JL 4th Gen 7,RSP11153
all_samples,0.238,Jamaican Lion,RSP12913
all_samples,0.238,Jamaican Lion,RSP12920
all_samples,0.239,Jamaican Lion,RSP12918
all_samples,0.241,Jamaican Lion,RSP12919
base_tree,0.552,BCH Rt-Fl,RSP13141
base_tree,0.488,PK Dried,RSP13123
base_tree,0.475,Fatso,RSP11741
base_tree,0.472,Chem 91,RSP11185
base_tree,0.471,CS,RSP11208
base_tree,0.471,Feral,RSP11205
base_tree,0.47,Red Eye OG,RSP11190
base_tree,0.469,Cherry Blossom,RSP11317
base_tree,0.468,GMO x Poison Momosa,RSP12626
base_tree,0.467,T20 Dried,RSP13125
base_tree,0.466,Purple Urkle,RSP12890
base_tree,0.464,Rainbow Belts 3.0 #11,RSP12801
base_tree,0.463,Badger G,RSP13082
base_tree,0.463,Rainbow Belts 1.0,RSP12911
base_tree,0.462,Cherry Blossom,RSP11324
base_tree,0.461,Cherry Blossom,RSP11333
base_tree,0.4608,80E,RSP11213
base_tree,0.457,PK Drying,RSP13124
base_tree,0.456,JL Cross 6,RSP11507
base_tree,0.452,PK,RSP13087
