Type,Distance,Strain,RSP
all_samples,0.016,EGd St-M,RSP13147
all_samples,0.017,EG2 Stems,RSP13095
all_samples,0.017,EG2 Roots,RSP13096
all_samples,0.021,EGd Rt-M,RSP13146
all_samples,0.028,EG2 Leaves,RSP13094
all_samples,0.035,El Gordo,RSP12938
all_samples,0.052,El Gordo Dried,RSP13122
all_samples,0.167,Chem 91,RSP11185
all_samples,0.177,Mother's Milk No. 31,RSP11623
all_samples,0.207,RKM-2018-009,RSP11100
all_samples,0.208,Styrofoam Cup x Cuban Linx #1,RSP12984
all_samples,0.212,Motor Breath #15,RSP12093
all_samples,0.214,Styrofoam Cup x Pearadise #6,RSP12986
all_samples,0.216,Pearadise x Orange Juice #4,RSP12975
all_samples,0.217,RKM-2018-032,RSP11124
all_samples,0.217,GMO,RSP12091
all_samples,0.217,RKM-2018-021,RSP11113
all_samples,0.218,RKM-2018-017,RSP11109
all_samples,0.22,GG#4,RSP11461
all_samples,0.221,GMO x [REDACTED] #43,RSP11976
base_tree,0.523,Cherry Blossom,RSP11311
base_tree,0.497,Northern Skunk,RSP11456
base_tree,0.497,Cherry Blossom,RSP11314
base_tree,0.496,Cherry Blossom,RSP11335
base_tree,0.493,Cherry Blossom,RSP11308
base_tree,0.481,Cherry Blossom,RSP11333
base_tree,0.477,Cherry Blossom,RSP11317
base_tree,0.476,Cherry Blossom,RSP11324
base_tree,0.468,Cherry Blossom,RSP11328
base_tree,0.463,Cherry Blossom,RSP11334
base_tree,0.461,Cherry Blossom,RSP11312
base_tree,0.46,Unknown-(Cherry Wine)-(004),RSP11271
base_tree,0.459,Cherry Blossom,RSP11300
base_tree,0.458,Avidekel_05MAY2017,RSP10938
base_tree,0.457,Tiger Tail (30),RSP11484
base_tree,0.457,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.456,Jamaican Lion,RSP12913
base_tree,0.455,Cbot-2019-005,RSP11133
base_tree,0.453,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.453,Feral,RSP11206
