Type,Distance,Strain,RSP
all_samples,0.198,Joy,RSP11380
all_samples,0.198,Electra,RSP11366
all_samples,0.201,Lift,RSP11378
all_samples,0.211,Badger,RSP11614
all_samples,0.221,Doug's Varin,RSP11243
all_samples,0.224,Suver Haze,RSP11364
all_samples,0.228,UP Sunrise,RSP10989
all_samples,0.228,Serious Happiness,RSP10763
all_samples,0.233,Calm,RSP11379
all_samples,0.235,Durban Poison #1,RSP11013
all_samples,0.236,UnObtanium,RSP11611
all_samples,0.238,Trump x Trump,RSP11466
all_samples,0.239,BlueBerry Cheesecake x JL Male,RSP11201
all_samples,0.242,Domnesia,RSP11184
all_samples,0.242,Liberty Haze,RSP11000
all_samples,0.244,Durban Poison,RSP11014
all_samples,0.245,Horncreek Tropical Tempest,RSP13161
all_samples,0.246,Durban Poison #1,RSP10996
all_samples,0.248,Purple Hash Dog,RSP12726
all_samples,0.25,Blueberry Cheesecake,RSP10684
base_tree,0.449,Jamaican Lion,RSP12916
base_tree,0.429,XY34483,RSP13511
base_tree,0.419,Rainbow Belts 1.0,RSP12911
base_tree,0.418,JL yellow,RSP11075
base_tree,0.414,Jamaican Lion,RSP12917
base_tree,0.409,Jamaican Lion,RSP12915
base_tree,0.407,BCH Rt-Fl,RSP13141
base_tree,0.407,JL 3rd Gen Mother,RSP11214
base_tree,0.405,Big Red,RSP13217
base_tree,0.403,Cherry Blossom,RSP11333
base_tree,0.402,T20 Dried,RSP13125
base_tree,0.4,RKM-2018-012,RSP11103
base_tree,0.4,Rainbow Belts 3.0 #11,RSP12801
base_tree,0.4,Jamaican Lion,RSP12913
base_tree,0.4,Animal Tree x [REDACTED] #4,RSP12792
base_tree,0.399,Cherry Blossom,RSP11317
base_tree,0.397,The Original Z (Zk*****z),RSP13259
base_tree,0.397,Cherry Blossom,RSP11314
base_tree,0.396,Roze ([REDACTED] x Unknown),RSP12925
base_tree,0.395,Skywalker OG,RSP10837
