Type,Distance,Strain,RSP
all_samples,0.087,BCP-St-NoMET,RSP13195
all_samples,0.088,BCP St-Fl,RSP13140
all_samples,0.091,BCP-Lf-NoMET,RSP13191
all_samples,0.092,BCP Buds,RSP13137
all_samples,0.093,BCP-St-MET,RSP13194
all_samples,0.094,BCP Lf-Fl,RSP13139
all_samples,0.097,BCP-Rt-NoMET,RSP13193
all_samples,0.097,BCP Rt-Fl,RSP13138
all_samples,0.098,BCP-Rt-MET,RSP13192
all_samples,0.11,Blch-Rt-RW,RSP13198
all_samples,0.122,BCP Dring,RSP13118
all_samples,0.145,Blch-Rt-Coco,RSP13197
all_samples,0.191,BCP-Stem-Fl2,RSP13196
all_samples,0.23,Blch Buds,RSP13134
all_samples,0.232,Blch St-Fl,RSP13136
all_samples,0.232,Blch Rt-Fl,RSP13135
all_samples,0.232,D1,RSP12875
all_samples,0.274,PG Buds,RSP13151
all_samples,0.275,T20G,RSP13091
all_samples,0.275,T20H,RSP13092
base_tree,0.486,Cherry Blossom,RSP11317
base_tree,0.463,Cherry Blossom,RSP11311
base_tree,0.458,Cherry Blossom,RSP11314
base_tree,0.456,Cherry Blossom,RSP11323
base_tree,0.451,Cherry Blossom,RSP11328
base_tree,0.448,Cherry Blossom,RSP11335
base_tree,0.446,Cherry Blossom,RSP11308
base_tree,0.446,Cherry Blossom,RSP11306
base_tree,0.446,Cherry Blossom,RSP11298
base_tree,0.445,Cherry Blossom,RSP11330
base_tree,0.441,Cherry Blossom,RSP11309
base_tree,0.439,Cherry Blossom,RSP11324
base_tree,0.437,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.437,Cherry Blossom,RSP11312
base_tree,0.437,Cherry Blossom,RSP11325
base_tree,0.435,Cherry Blossom,RSP11333
base_tree,0.435,Tiger Tail (30),RSP11484
base_tree,0.435,Cherry Blossom,RSP11334
base_tree,0.433,CS,RSP11208
base_tree,0.433,CS Indica,RSP11658
