Type,Distance,Strain,RSP
all_samples,0.014,BCP Buds,RSP13137
all_samples,0.026,BCP Rt-Fl,RSP13138
all_samples,0.061,BCP Lf-Fl,RSP13139
all_samples,0.075,BCP Dring,RSP13118
all_samples,0.18,Blch Buds,RSP13134
all_samples,0.182,Blch Rt-Fl,RSP13135
all_samples,0.184,D1,RSP12875
all_samples,0.184,Blch St-Fl,RSP13136
all_samples,0.218,T20G,RSP13091
all_samples,0.218,T20H,RSP13092
all_samples,0.218,T20I,RSP13093
all_samples,0.238,Grape Jelly's,RSP12640
all_samples,0.239,Glueberry OG,RSP11222
all_samples,0.241,PG Buds,RSP13151
all_samples,0.246,RKM-2018-001,RSP11092
all_samples,0.246,PG Rt-Fl,RSP13152
all_samples,0.248,Trump x Trump,RSP11466
all_samples,0.25,Domnesia,RSP11184
all_samples,0.251,Thank You Jerry,RSP11459
all_samples,0.251,PG,RSP12934
base_tree,0.46,Cherry Blossom,RSP11317
base_tree,0.441,Cherry Blossom,RSP11323
base_tree,0.44,Cherry Blossom,RSP11311
base_tree,0.44,Cherry Blossom,RSP11314
base_tree,0.434,Cherry Blossom,RSP11328
base_tree,0.433,Cherry Blossom,RSP11306
base_tree,0.432,Jamaican Lion,RSP12916
base_tree,0.424,JL 3rd Gen Mother,RSP11214
base_tree,0.424,Cherry Blossom,RSP11325
base_tree,0.422,JL yellow,RSP11075
base_tree,0.421,Cherry Blossom,RSP11309
base_tree,0.418,Cherry Blossom,RSP11335
base_tree,0.418,Jamaican Lion,RSP12917
base_tree,0.417,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.417,Cherry Blossom,RSP11330
base_tree,0.416,Cherry Blossom,RSP11308
base_tree,0.416,Cherry Blossom,RSP11324
base_tree,0.413,Cherry Blossom,RSP11333
base_tree,0.412,Cherry Blossom,RSP11298
base_tree,0.412,Tiger Tail (30),RSP11484
