Type,Distance,Strain,RSP
all_samples,0.213,Calm,RSP11379
all_samples,0.213,Electra,RSP11366
all_samples,0.214,Queen Dream CBG,RSP11287
all_samples,0.223,Blueberry Cheesecake,RSP10684
all_samples,0.226,Durban Poison #1,RSP11013
all_samples,0.228,Serious Happiness,RSP10763
all_samples,0.228,Trump x Trump,RSP11466
all_samples,0.228,Queen Dream,RSP11289
all_samples,0.228,Domnesia,RSP11184
all_samples,0.23,Suver Haze,RSP11364
all_samples,0.23,Medxotic,RSP11410
all_samples,0.231,Ringo's Gift (Katie's Cut),RSP11624
all_samples,0.232,Doug's Varin,RSP11243
all_samples,0.232,HYP 101,RSP13076
all_samples,0.233,Blue Dream,RSP11017
all_samples,0.234,UP Sunrise,RSP10989
all_samples,0.235,TI,RSP11149
all_samples,0.238,Up All Day Jay,RSP11258
all_samples,0.239,Cherry,RSP11143
all_samples,0.239,Blue Dream,RSP11006
base_tree,0.454,Cherry Blossom,RSP11309
base_tree,0.45,Cherry Blossom,RSP11311
base_tree,0.442,Badger G,RSP13082
base_tree,0.44,Cherry Blossom,RSP11317
base_tree,0.438,Cherry Blossom,RSP11328
base_tree,0.434,CDSD,RSP12935
base_tree,0.433,Cherry Blossom,RSP11314
base_tree,0.428,Fatso,RSP11741
base_tree,0.426,Styrofoam Cup x Cuban Linx #4,RSP12970
base_tree,0.425,CS Indica,RSP11658
base_tree,0.4258,80E,RSP11213
base_tree,0.424,BagSeed,RSP12627
base_tree,0.424,Feral,RSP11205
base_tree,0.423,BCH Rt-Fl,RSP13141
base_tree,0.422,GMO x Garlic Breath,RSP12507
base_tree,0.421,Northern Lights,RSP11501
base_tree,0.4188,80E,RSP11211
base_tree,0.418,Tiger Tail (30),RSP11484
base_tree,0.415,Jamaican Lion,RSP12913
base_tree,0.413,Punta Roja,RSP12923
