Type,Distance,Strain,RSP
all_samples,0.025,SLH Rt-M,RSP13132
all_samples,0.027,SLH Rt-Fl,RSP13133
all_samples,0.046,SLH C3,RSP12943
all_samples,0.072,SLH C3,RSP12942
all_samples,0.197,Domnesia,RSP11184
all_samples,0.197,Wedding Cake x MAC,RSP11464
all_samples,0.207,Pie Face Mac,RSP11974
all_samples,0.216,Casco Kush,RSP11167
all_samples,0.222,Blue Dream,RSP11009
all_samples,0.225,Durban Poison #1,RSP11013
all_samples,0.228,Sunday Driver,RSP11071
all_samples,0.229,Serious Happiness,RSP10763
all_samples,0.23,JL Cross 29,RSP11530
all_samples,0.23,White Chronic,RSP11220
all_samples,0.235,Super Blue Dream,RSP11011
all_samples,0.236,Pieface,RSP12794
all_samples,0.236,SHERBERT,RSP11355
all_samples,0.237,Blue Dream,RSP11017
all_samples,0.237,Dominion Skunk,RSP11354
all_samples,0.238,Cheese,RSP10460
base_tree,0.487,Cherry Blossom,RSP11323
base_tree,0.446,Jamaican Lion,RSP12916
base_tree,0.434,Cherry Blossom,RSP11328
base_tree,0.428,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.425,Jamaican Lion,RSP12917
base_tree,0.424,Cherry Blossom,RSP11309
base_tree,0.422,Cherry Blossom CBG,RSP11303
base_tree,0.42,Cherry Blossom,RSP11318
base_tree,0.417,Cherry Blossom,RSP11298
base_tree,0.416,Cherry Blossom,RSP11306
base_tree,0.415,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.412,JL 3rd Gen Mother,RSP11214
base_tree,0.412,Tanao Sri (46),RSP11486
base_tree,0.409,Jamaican Lion,RSP12915
base_tree,0.407,Unknown-(Cherry Wine)-(002),RSP11269
base_tree,0.406,JL yellow,RSP11075
base_tree,0.403,JL_x_NSPM1_4,RSP11482
base_tree,0.402,Cherry Blossom,RSP11274
base_tree,0.398,Cherry Blossom,RSP11325
base_tree,0.396,JL 3rd Gen Mother,RSP11197
