Type,Distance,Strain,RSP
all_samples,0.127,Tenth Planet (Roots),RSP13179
all_samples,0.177,Blueberry Cheesecake,RSP10684
all_samples,0.178,Trump x Trump,RSP11466
all_samples,0.182,Electra,RSP11366
all_samples,0.183,Serious Happiness,RSP10763
all_samples,0.194,Doug's Varin,RSP11243
all_samples,0.195,Rest,RSP11377
all_samples,0.198,Thank You Jerry,RSP11459
all_samples,0.203,Suver Haze,RSP11364
all_samples,0.203,Banana Daddy 1 (Big),RSP11496
all_samples,0.204,SPQ (quite resistant),RSP11370
all_samples,0.207,Domnesia,RSP11184
all_samples,0.211,JL Cross 10,RSP11511
all_samples,0.212,Lift,RSP11378
all_samples,0.213,Tahoe OG,RSP11189
all_samples,0.219,Liberty Haze,RSP11000
all_samples,0.22,Badger,RSP11614
all_samples,0.223,GG#4,RSP11461
all_samples,0.224,CPH,RSP11367
all_samples,0.227,JL Cross 11,RSP11512
base_tree,0.517,Jamaican Lion,RSP12916
base_tree,0.499,JL yellow,RSP11075
base_tree,0.487,Jamaican Lion,RSP12917
base_tree,0.476,Jamaican Lion,RSP12915
base_tree,0.469,Jamaican Lion,RSP12913
base_tree,0.462,JL 3rd Gen Mother,RSP11214
base_tree,0.44,JL 3rd Gen Father,RSP11196
base_tree,0.428,JL 4th Gen 5,RSP11199
base_tree,0.425,Jamaican Lion,RSP12920
base_tree,0.424,JL 4th Gen 1,RSP11193
base_tree,0.422,JL 4th Gen 2,RSP11194
base_tree,0.417,Jamaican Lion,RSP12919
base_tree,0.415,JL 3rd Gen Mother,RSP11197
base_tree,0.414,Jamaican Lion,RSP12918
base_tree,0.413,Punta Roja,RSP12923
base_tree,0.408,Roze ([REDACTED] x Unknown),RSP12925
base_tree,0.407,JL 4th Gen 4,RSP11198
base_tree,0.405,JL 4th Gen 6,RSP11200
