Type,Distance,Strain,RSP
all_samples,0.035,PD St-M,RSP13149
all_samples,0.036,Powdered Donuts,RSP13266
all_samples,0.036,Powdered Donuts,RSP13263
all_samples,0.037,Powdered Donuts,RSP13270
all_samples,0.037,Powdered Donuts,RSP13273
all_samples,0.037,Powdered Donuts,RSP13268
all_samples,0.039,Powdered Donuts,RSP13272
all_samples,0.042,PD Lf-M,RSP13150
all_samples,0.044,JFG,RSP13085
all_samples,0.05,Powdered Donuts,RSP13264
all_samples,0.069,JFG,RSP12927
all_samples,0.083,Powdered Donuts,RSP13267
all_samples,0.084,Powdered Donuts,RSP12939
all_samples,0.088,Dried Leaves,RSP13120
all_samples,0.099,JFG,RSP12933
all_samples,0.13,Powdered Donuts,RSP13265
all_samples,0.137,Powdered Donuts,RSP13271
all_samples,0.169,Old Family Purple,RSP12098
all_samples,0.184,SFVxTK,RSP11072
all_samples,0.189,Skywalker OG,RSP10837
base_tree,0.454,Cherry Blossom,RSP11317
base_tree,0.441,Northern Skunk,RSP11456
base_tree,0.44,Big Red,RSP13217
base_tree,0.4398,80E,RSP11213
base_tree,0.437,Cherry Fog XL,RSP11458
base_tree,0.429,Cherry Blossom,RSP11323
base_tree,0.421,Cherry Blossom,RSP11328
base_tree,0.421,Cherry Blossom,RSP11311
base_tree,0.42,Cherry Blossom,RSP11298
base_tree,0.418,Cherry Blossom,RSP11318
base_tree,0.414,Cherry Blossom,RSP11330
base_tree,0.409,Cherry Blossom,RSP11312
base_tree,0.409,Cherry Blossom,RSP11306
base_tree,0.408,Cherry Blossom,RSP11324
base_tree,0.406,Cherry Blossom,RSP11308
base_tree,0.406,Jamaican Lion,RSP12916
base_tree,0.404,Cherry Blossom,RSP11314
base_tree,0.404,Cherry Blossom,RSP11309
base_tree,0.402,Cherry Blossom,RSP11335
