Type,Distance,Strain,RSP
all_samples,0.193,Jasmine Silver Haze,RSP11979
all_samples,0.199,T.S.A.G.E,RSP11351
all_samples,0.225,RKM-2018-028,RSP11120
all_samples,0.229,Thank You Jerry,RSP11459
all_samples,0.231,TI,RSP11149
all_samples,0.232,Wilburs Great Adventure,RSP11727
all_samples,0.233,Green Crack,RSP11339
all_samples,0.233,Medxotic,RSP11410
all_samples,0.242,Danny Noonan,RSP11070
all_samples,0.243,Cheese,RSP10460
all_samples,0.248,PG Buds,RSP13151
all_samples,0.251,Trump x Trump,RSP11466
all_samples,0.251,PG,RSP13088
all_samples,0.251,PG Rt-Fl,RSP13152
all_samples,0.253,Hermaphrodite_Research_Sample1,RSP11042
all_samples,0.254,Hermaphrodite_Research_Sample1,RSP11049
all_samples,0.255,Blue Dream,RSP11010
all_samples,0.257,RKM-2018-003,RSP11094
all_samples,0.258,Bordello,RSP11228
base_tree,0.504,Cherry Blossom,RSP11317
base_tree,0.4728,80E,RSP11213
base_tree,0.467,Cherry Blossom,RSP11328
base_tree,0.466,Punta Roja,RSP12923
base_tree,0.4628,80E,RSP11211
base_tree,0.454,Cherry Blossom,RSP11334
base_tree,0.452,Jamaican Lion,RSP12913
base_tree,0.447,Cherry Blossom,RSP11330
base_tree,0.446,Cherry Blossom,RSP11298
base_tree,0.446,Cherry Blossom,RSP11309
base_tree,0.443,CS Indica,RSP11658
base_tree,0.4428,80E,RSP11212
base_tree,0.439,Purple Columbian,RSP12924
base_tree,0.438,Blueberry TrainMAC F2,RSP13463
base_tree,0.435,Feral,RSP11205
base_tree,0.434,JL 3rd Gen Father,RSP11196
base_tree,0.432,Cherry Blossom,RSP11335
base_tree,0.431,Eden,RSP11411
base_tree,0.431,Badger G,RSP13082
