Type,Distance,Strain,RSP
all_samples,0.19,JL_X_NSPM1_7,RSP11469
all_samples,0.194,Lift,RSP11378
all_samples,0.196,Electra,RSP11366
all_samples,0.196,Serious Happiness,RSP10763
all_samples,0.201,Domnesia,RSP11184
all_samples,0.202,Blue Dream,RSP11010
all_samples,0.202,SPQ (quite resistant),RSP11370
all_samples,0.202,UK Cheese x Styrofoam Cup #1,RSP13389
all_samples,0.202,Blue Dream,RSP11017
all_samples,0.203,JL_x_NSPM1_3,RSP11481
all_samples,0.206,Blue Dream,RSP11007
all_samples,0.207,Super Blue Dream,RSP11011
all_samples,0.207,JL Cross 26,RSP11527
all_samples,0.208,JL_X_NSPM1_14,RSP11473
all_samples,0.209,UnObtanium,RSP11611
all_samples,0.21,Peach Ozz x  Styrofoam Cup #8,RSP13393
all_samples,0.21,Blue Dream,RSP11004
all_samples,0.214,JL_Tent_1_yellow_stake,RSP11488
all_samples,0.216,Blue Dream,RSP11012
all_samples,0.216,Sweet Tooth,RSP11224
base_tree,0.418,Cherry Blossom,RSP11323
base_tree,0.412,CS Indica,RSP11658
base_tree,0.4118,80E,RSP11213
base_tree,0.407,Kush Hemp E1,RSP11128
base_tree,0.406,Rainbow Belts 1.0,RSP12911
base_tree,0.404,Cherry Blossom,RSP11311
base_tree,0.403,Cherry Blossom,RSP11333
base_tree,0.403,Cherry Blossom,RSP11318
base_tree,0.401,CS,RSP11208
base_tree,0.3998,80E,RSP11212
base_tree,0.398,Cherry Blossom,RSP11314
base_tree,0.397,Blueberry TrainMAC F2,RSP13463
base_tree,0.397,BCH Rt-Fl,RSP13141
base_tree,0.396,Carmaleonte,RSP11207
base_tree,0.392,PK Dried,RSP13123
base_tree,0.392,Tanao Sri-white (80),RSP11621
base_tree,0.39,Feral,RSP11205
base_tree,0.39,Danny Noonan,RSP11070
