Type,Distance,Strain,RSP
all_samples,0.024,White Cherry Gelato-V (D15),RSP13305
all_samples,0.041,Pink Runtz (VO1),RSP13307
all_samples,0.042,Purple Urkle,RSP12890
all_samples,0.14,Absolute_OG,RSP11455
all_samples,0.154,T20G,RSP13091
all_samples,0.157,Red Eye OG,RSP11190
all_samples,0.157,T20H,RSP13092
all_samples,0.157,T20I,RSP13093
all_samples,0.16,SFVxTK,RSP11072
all_samples,0.164,East side OG,RSP12089
all_samples,0.165,Skywalker OG,RSP10837
all_samples,0.167,CDSD,RSP13084
all_samples,0.17,Bueller F3,RSP12503
all_samples,0.171,Deadhead OG,RSP11463
all_samples,0.177,UK Cheese,RSP12896
all_samples,0.179,Casco Kush,RSP11167
all_samples,0.182,Gorilla Cookies,RSP11231
all_samples,0.183,Rootbeer Rolex #50,RSP12645
all_samples,0.183,RKM-2018-034,RSP11126
all_samples,0.184,Super Runtz,RSP12810
base_tree,0.601,Jamaican Lion,RSP12916
base_tree,0.587,JL yellow,RSP11075
base_tree,0.572,Jamaican Lion,RSP12917
base_tree,0.554,JL 3rd Gen Mother,RSP11214
base_tree,0.544,Jamaican Lion,RSP12915
base_tree,0.52,JL 3rd Gen Mother,RSP11197
base_tree,0.501,JL 4th Gen 1,RSP11193
base_tree,0.491,JL 4th Gen 5,RSP11199
base_tree,0.489,JL 4th Gen 6,RSP11200
base_tree,0.475,JL x MC7,RSP13213
base_tree,0.475,Tanao Sri (46),RSP11486
base_tree,0.464,Big Red,RSP13217
base_tree,0.464,JL 4th Gen 4,RSP11198
base_tree,0.464,JL 4th Gen 2,RSP11194
base_tree,0.459,JL_x_MandarinCookies_XX_THC_10,RSP13168
base_tree,0.452,JL x MC5,RSP13212
base_tree,0.447,JL_X_NSPM1_12,RSP11472
base_tree,0.443,JL 4th Gen 3,RSP11195
base_tree,0.441,JL_x_MandarinCookies_XX_THC_5,RSP13167
base_tree,0.435,Cherry Blossom,RSP11318
