Type,Distance,Strain,RSP
all_samples,0.016,PK Buds,RSP13153
all_samples,0.018,PK-St-M,RSP13205
all_samples,0.018,PK,RSP13087
all_samples,0.018,PK St-Fl,RSP13155
all_samples,0.024,PK,RSP12932
all_samples,0.027,PK-Rt-RW,RSP13204
all_samples,0.027,PK Rt-Fl,RSP13154
all_samples,0.033,PK-Rt-BioG-,RSP13200
all_samples,0.036,PK Drying,RSP13124
all_samples,0.037,PK-Rt-Coco,RSP13202
all_samples,0.04,PK,RSP12926
all_samples,0.04,PK-Rt-M,RSP13203
all_samples,0.077,PK Dried,RSP13123
all_samples,0.119,The Gift,RSP10988
all_samples,0.12,RKM-2018-008,RSP11099
all_samples,0.134,Rugburn OG,RSP11353
all_samples,0.136,RKM-2018-013,RSP11104
all_samples,0.146,DP Dried,RSP13143
all_samples,0.146,RKM-2018-012,RSP11103
all_samples,0.148,Absolute_OG,RSP11455
base_tree,0.481,Jamaican Lion,RSP12916
base_tree,0.477,Unknown-(Cherry Wine)-(001),RSP11268
base_tree,0.468,Jamaican Lion,RSP12917
base_tree,0.467,Cherry Blossom,RSP11301
base_tree,0.466,Brunswick High,RSP11164
base_tree,0.465,Cherry Blossom,RSP11323
base_tree,0.465,Tanao Sri (46),RSP11486
base_tree,0.464,Cherry Blossom,RSP11318
base_tree,0.453,Jamaican Lion,RSP12915
base_tree,0.45,JL yellow,RSP11075
base_tree,0.449,Jamaican Lion,RSP12913
base_tree,0.448,JL 3rd Gen Father,RSP11196
base_tree,0.446,Unknown-(Cherry Wine)-(002),RSP11269
base_tree,0.445,Unknown-(Cherry Wine)-(003),RSP11270
base_tree,0.44,JL 4th Gen 5,RSP11199
base_tree,0.436,JL 3rd Gen Mother,RSP11214
base_tree,0.436,Cherry Blossom,RSP11328
base_tree,0.435,JL 4th Gen 4,RSP11198
base_tree,0.435,Cherry Blossom,RSP11300
base_tree,0.434,Cherry Blossom,RSP11298
